id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7270,¡¡Great Loft in Palermo Hollywood!!,18822,Toni,Palermo,-34.58241,-58.43382,Entire home/apt,2033,20,14,30-04-2018,0.15,1,363
11508,Amazing Luxurious Apt-Palermo Soho,42762,Candela,Palermo,-34.58225,-58.4246,Entire home/apt,3588,2,25,13-08-2019,0.28,1,281
12463,Room in Recoleta - awesome location,48799,Matt,Recoleta,-34.59761,-58.39468,Private room,1435,1,20,11-12-2017,0.17,1,365
13095,Standard Room at Palermo Viejo B&B,50994,Ariel,Palermo,-34.59382,-58.42994,Private room,2691,1,1,18-12-2018,0.09,7,360
13096,Standard Room in Palermo Viejo B&B,50994,Ariel,Palermo,-34.59398,-58.42853,Private room,2691,1,0,,,7,360
13097,Standard Room at Palermo Viejo B&B,50994,Ariel,Palermo,-34.59381,-58.43007,Private room,2691,1,65,19-10-2019,2.19,7,358
13099,Lofty room in Palermo Viejo B&B,50994,Ariel,Palermo,-34.59362,-58.42984,Private room,3588,1,0,,,7,343
13100,Master Room in Palermo Viejo B&B,50994,Ariel,Palermo,-34.59288,-58.4301,Private room,4185,1,1,23-11-2017,0.04,7,354
13349,"Room #301, Aja Leith",52100,Yanina,Monserrat,-34.61564,-58.38823,Private room,4185,1,0,,,6,365
13350,Room #302 Kimber Benton,52100,Yanina,Monserrat,-34.6178,-58.3864,Private room,3588,1,0,,,6,365
13351,Hotel boutique Bonito Buenos Aires,52100,Yanina,Monserrat,-34.61715,-58.38832,Private room,4185,1,0,,,6,365
13352,Room #304 Shana Elmsford,52100,Yanina,Monserrat,-34.61575,-58.38667,Private room,3887,1,0,,,6,365
13367,Hotel Boutique Bonito Buenos Aires ,52100,Yanina,Monserrat,-34.61704,-58.38673,Private room,3588,1,0,,,6,365
14222,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",55825,Manuel,Palermo,-34.58777,-58.41106,Entire home/apt,2332,5,87,03-11-2019,0.97,3,359
14711,SPECTACULAR ANCIENT HOUSE,57770,Cintia,Monserrat,-34.60913,-58.37372,Entire home/apt,7175,1,0,,,1,365
15074,ROOM WITH RIVER SIGHT,59338,Monica,Nuñez,-34.53724,-58.4658,Private room,1794,29,0,,,1,365
15889,ROOM W /BALCONY-DOWNTOWN ......,62183,Sonia,Balvanera,-34.6029,-58.4114,Private room,2093,3,6,01-06-2014,0.06,2,365
16695,DUPLEX LOFT 2 - SAN TELMO,64880,Elbio Mariano,Monserrat,-34.61385,-58.37706,Entire home/apt,3887,1,45,26-10-2019,0.42,12,360
16696,Duplex Loft en Microcentro Porteño,64880,Elbio Mariano,Monserrat,-34.61469,-58.37421,Entire home/apt,2990,1,50,16-07-2019,0.45,12,359
16697,Small Duplex Loft in San Telmo (8),64880,Elbio Mariano,Monserrat,-34.61427,-58.37488,Entire home/apt,2691,1,22,16-04-2019,0.21,12,342
17451,A terrace in Buenos Aires,67732,Karen,Belgrano,-34.55811,-58.46462,Private room,2033,2,0,,,1,60
17993,TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO,68689,Maritza,San Nicolas,-34.60175,-58.3786,Entire home/apt,2691,3,7,01-08-2018,0.07,2,237
18007,apartament in San Telmo,69404,Marcelo,Monserrat,-34.6154,-58.3778,Entire home/apt,20927,1,0,,,1,365
18061,"Quirky, sunny & spacious - 5 px max",69605,Alejandra,San Telmo,-34.61986,-58.36947,Entire home/apt,2691,4,144,13-01-2019,1.23,1,176
19583,"Studio in Recoleta , for two people.",74263,Arturo Raul,Recoleta,-34.59593,-58.39257,Entire home/apt,2033,2,199,31-07-2019,1.91,1,324
20062,PENTHOUSE / best city views !! terrace & pool,75891,Sergio,Palermo,-34.58079,-58.44203,Entire home/apt,5381,2,215,20-11-2019,1.85,3,150
