id;name;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews
7270;∂≠∂≠Great Loft in Palermo Hollywood!!;18822;Toni;PALERMO;-3.458.241;-5.843.382;Entire home/apt;2033;20;14
11508;Amazing Luxurious Apt-Palermo Soho;42762;Candela;PALERMO;-3.458.225;-584.246;Entire home/apt;3588;2;25
12463;Room in Recoleta - awesome location;48799;Matt;RECOLETA;-3.459.761;-5.839.468;Private room;1435;1;20
13095;Standard Room at Palermo Viejo B&B;50994;Ariel;PALERMO;-3.459.382;-5.842.994;Private room;2691;1;1
13096;Standard Room in Palermo Viejo B&B;50994;Ariel;PALERMO;-3.459.398;-5.842.853;Private room;2691;1;0
13097;Standard Room at Palermo Viejo B&B;50994;Ariel;PALERMO;-3.459.381;-5.843.007;Private room;2691;1;65
13099;Lofty room in Palermo Viejo B&B;50994;Ariel;PALERMO;-3.459.362;-5.842.984;Private room;3588;1;0
13100;Master Room in Palermo Viejo B&B;50994;Ariel;PALERMO;-3.459.288;-584.301;Private room;4185;1;1
13349;Room #301, Aja Leith;52100;Yanina;MONSERRAT;-3.461.564;-5.838.823;Private room;4185;1;0
13350;Room #302 Kimber Benton;52100;Yanina;MONSERRAT;-346.178;-583.864;Private room;3588;1;0
13351;Hotel boutique Bonito Buenos Aires;52100;Yanina;MONSERRAT;-3.461.715;-5.838.832;Private room;4185;1;0
13352;Room #304 Shana Elmsford;52100;Yanina;MONSERRAT;-3.461.575;-5.838.667;Private room;3887;1;0
13367;Hotel Boutique Bonito Buenos Aires ;52100;Yanina;MONSERRAT;-3.461.704;-5.838.673;Private room;3588;1;0
14222;RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES;55825;Manuel;PALERMO;-3.458.777;-5.841.106;Entire home/apt;2332;5;87
14711;SPECTACULAR ANCIENT HOUSE;57770;Cintia;MONSERRAT;-3.460.913;-5.837.372;Entire home/apt;7175;1;0
15074;ROOM WITH RIVER SIGHT;59338;Monica;NU•EZ;-3.453.724;-584.658;Private room;1794;29;0
15889;ROOM W /BALCONY-DOWNTOWN ......;62183;Sonia;BALVANERA;-346.029;-584.114;Private room;2093;3;6
16695;DUPLEX LOFT 2 - SAN TELMO;64880;Elbio Mariano;MONSERRAT;-3.461.385;-5.837.706;Entire home/apt;3887;1;45
16696;Duplex Loft en Microcentro Porte«Òo;64880;Elbio Mariano;MONSERRAT;-3.461.469;-5.837.421;Entire home/apt;2990;1;50
16697;Small Duplex Loft in San Telmo (8);64880;Elbio Mariano;MONSERRAT;-3.461.427;-5.837.488;Entire home/apt;2691;1;22
17451;A terrace in Buenos Aires;67732;Karen;BELGRANO;-3.455.811;-5.846.462;Private room;2033;2;0
17993;TEMPORARY RENT CUTE APARTMENT IN MICROCENTRO;68689;Maritza;SAN NICOLAS;-3.460.175;-583.786;Entire home/apt;2691;3;7
18007;apartament in San Telmo;69404;Marcelo;MONSERRAT;-346.154;-583.778;Entire home/apt;20927;1;0
18061;Quirky, sunny & spacious - 5 px max;69605;Alejandra;SAN TELMO;-3.461.986;-5.836.947;Entire home/apt;2691;4;144
19583;Studio in Recoleta , for two people.;74263;Arturo Raul;RECOLETA;-3.459.593;-5.839.257;Entire home/apt;2033;2;199
20062;PENTHOUSE / best city views !! terrace & pool;75891;Sergio;PALERMO;-3.458.079;-5.844.203;Entire home/apt;5381;2;215
20429;Hermoso  y acogedor departamento.;77065;Marcelo;CONSTITUCION;-3.462.108;-5.838.677;Entire home/apt;2093;15;0
21807;Comfortable apartment in San Telmo;83312;Graciela;SAN TELMO;-3.462.225;-5.837.239;Entire home/apt;2990;6;0
21816;Apartment at Faena Hotel;83130;Marce;PUERTO MADERO;-3.461.407;-5.836.187;Entire home/apt;10763;6;0
21837;Comfortable studio in Callao Avenue;80208;Olga;MONSERRAT;-3.460.807;-5.837.224;Entire home/apt;3588;3;0
23798;CHIC, LIGHT, SPACIOUS LOFT APPT- SAN TELMO;94615;Nicola;MONSERRAT;-3.461.495;-5.837.319;Entire home/apt;2990;3;46
24157;Fun, Hip, Friendly San Telmo Loft;97165;Angela;SAN TELMO;-3.462.057;-5.836.765;Entire home/apt;2511;30;93
24713;BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!;100743;Griselda;SAN NICOLAS;-346.034;-5.837.867;Entire home/apt;1794;1;328
24763;Amazing LOFTpalermo: contemporary and cool;101049;Sebastian;CHACARITA;-3.458.681;-5.844.476;Entire home/apt;3528;10;32
25876;Stylish & Comfortable Apartment;108864;Luis;SAN NICOLAS;-3.459.999;-5.837.851;Entire home/apt;2392;3;221
26258;Huge 473sqf Studio @ Palermo University area;111013;Daniel;BALVANERA;-345.991;-5.841.053;Entire home/apt;2093;7;2
26757;Sunny Terrace, Cozy Loft, Sleeps 4 in San Telmo;97165;Angela;SAN TELMO;-3.462.199;-5.836.883;Entire home/apt;1913;3;79
27562;Modern & comfortable apartment at best location;119120;Julieta;PALERMO;-3.458.095;-5.840.461;Entire home/apt;3588;4;13
27631;Apartment for rent in Recoleta;119446;In«∏s;RECOLETA;-34.591;-5.839.039;Entire home/apt;2930;2;93
27991;One bedroom Apt on corner Corrientes and Araoz.;120567;Pablo;VILLA CRESPO;-3.459.984;-5.843.692;Entire home/apt;3289;10;32
28244;Loft in Palermo Hollywood.Pool 617;119613;Marcos;PALERMO;-3.457.628;-5.843.456;Entire home/apt;3767;5;22
29421;Best Location Las Ca«Òitas 1 Bed Apt;126458;Adriana;PALERMO;-3.457.066;-5.843.211;Entire home/apt;2691;3;0
29983;Depto de 1 ambiente en Recoleta;129235;Carolina;RECOLETA;-3.459.925;-583.908;Entire home/apt;4664;2;0
29990;Funky & Stylish Apartment, Palermo;129245;Savas;PALERMO;-3.458.521;-5.842.739;Entire home/apt;2930;3;154
31469;Beautiful Home w/ Garden at Racetrack of Palermo;135120;Flor;PALERMO;-3.456.887;-584.332;Entire home/apt;2272;1;11
31514;BEAUTY DUPLEX LOFT #4 SAN TELMO;64880;Elbio Mariano;MONSERRAT;-3.461.555;-5.837.612;Entire home/apt;4484;1;26
31920;Beautifull apartment in Belgrano!;137373;Nancy;BELGRANO;-3.456.483;-5.846.014;Entire home/apt;3588;30;0
35703;Charming studio in Palermo;150763;Viviana;RECOLETA;-3.459.103;-5.840.781;Entire home/apt;2392;4;82
37347;Palermo/Las Ca«Òitas Apartment ;161327;Mariano;PALERMO;-3.457.185;-5.843.286;Entire home/apt;2691;14;35
41608;Palermo Soho Spectacular New Unit;181721;Yamila & Eyenit;PALERMO;-3.458.576;-5.842.803;Entire home/apt;4484;2;113
42450;French Classic in San Telmo: Balcony over Defensa!;185437;Grisel;MONSERRAT;-3.461.544;-5.837.258;Entire home/apt;5381;3;119
45498;Quite & Chic, fully equipped, 2Bd, pool & terrace;75891;Sergio;PALERMO;-3.458.284;-5.844.206;Entire home/apt;4783;2;104
46639;Rent Apart Palermo Buenos Aires 5px;209005;Flor;PALERMO;-3.458.861;-5.841.647;Entire home/apt;5082;3;7
48089;Recoleta Classic French-Style 2BDR;192475;Chris;RECOLETA;-3.458.676;-5.838.854;Entire home/apt;4484;7;100
48527;French style apartment in Recoleta ;221661;Ricardo;RECOLETA;-3.458.543;-5.839.637;Entire home/apt;7653;3;1
48535;Elegant apartment in downtown Bs.As;221044;Florencia;RETIRO;-3.459.456;-5.837.503;Entire home/apt;2990;90;0
48678;Grate & Luxury apartment Recoleta ;221661;Ricardo;RECOLETA;-3.458.722;-5.839.676;Private room;7653;3;1
50778;Gorgeous 2bdrm in Awesome Recoleta;233651;Cameron;RECOLETA;-3.459.072;-5.840.064;Entire home/apt;2691;5;92
52115;Little & beautifull Recoleta apt.;240731;Cecilia;RECOLETA;-3.459.544;-5.839.319;Entire home/apt;3588;5;1
52511;San Telmo Apartment (Buenos Aires);242939;Gri;MONSERRAT;-3.460.886;-5.837.349;Entire home/apt;4185;4;0
53097;Duplex 6 (2 rooms) in San Telmo;64880;Elbio Mariano;MONSERRAT;-3.461.405;-5.837.444;Entire home/apt;3588;1;36
53905;Trendy studio in Villa Crespo!;252182;Victoria;VILLA CRESPO;-3.459.814;-5.843.858;Entire home/apt;2212;3;75
58778;Éùœã˜èAmazing View!  1 Bedroom  Studio - UNO22Éùœã˜è;281041;Michael;PALERMO;-3.458.233;-5.842.309;Entire home/apt;7474;1;25
58789;Éùœã˜èBest view in BA! 1 Bedroom Studio -UNO21Éùœã˜è;281041;Michael;PALERMO;-3.458.233;-5.842.509;Entire home/apt;7474;1;22
61282;Loft with Balcony in Belgrano;296398;Alejandro;NU•EZ;-3.455.364;-584.673;Entire home/apt;2212;3;135
61882;Private Room in Buenos Aires City Center;122080;Catherine;SAN NICOLAS;-3.460.142;-5.837.094;Private room;1614;3;9
65446;Luxury Premier Loft with Breathtaking Views  É??É??É??É??É??;319901;Ralf;PALERMO;-3.458.092;-5.842.515;Entire home/apt;7175;2;153
65513;Comfortable apartment for 5 in BsAs;320183;Hortensia;RETIRO;-3.459.811;-5.837.779;Entire home/apt;6577;10;5
65519;Great Apartment in Las Ca«Òitas (Palermo) for 5;320183;Hortensia;PALERMO;-3.457.004;-5.843.118;Entire home/apt;7773;5;11
66939;É?? Instaworthy Views, 20th Floor É?? Pool+Gym+Sauna;319901;Ralf;PALERMO;-3.458.246;-5.842.442;Entire home/apt;5262;2;249
66940;Pool Party studio +  Views over the Pool  Éùœ;319901;Ralf;PALERMO;-3.458.251;-5.842.322;Entire home/apt;4783;2;214
68173;Best Area in Palermo, Luxury Studio;31299;Dave;PALERMO;-3.457.977;-5.842.945;Entire home/apt;3049;5;78
68489;Best Block in Palermo Hollywood;31299;Dave;PALERMO;-3.458.021;-5.843.133;Entire home/apt;4425;3;140
68800;Recoleta con pileta y parilla.  Pet Friendly;221405;Ximena;RECOLETA;-345.931;-5.838.844;Entire home/apt;22721;2;74
68868;Luxury Sky Loft , Dream View Apartment É??É??É??É??É??;319901;Ralf;PALERMO;-345.814;-584.251;Entire home/apt;7175;2;228
69063;Beautiful, great location, quiet, Nespresso.;344599;Danilo;RECOLETA;-3.459.429;-5.839.778;Entire home/apt;2272;1;181
69086;Little Duplex Loft (1) San Telmo;64880;Elbio Mariano;MONSERRAT;-3.461.584;-5.837.602;Entire home/apt;2392;1;34
69880;Gorgeous 2bd/2.5 bth, Rooftop Pool, Pal. Hollywood;315089;Max;PALERMO;-3.457.732;-5.843.892;Entire home/apt;7175;5;24
70082;High category appartment Belgrano;353823;Maria De Los Angeles;PALERMO;-3.456.928;-5.844.377;Entire home/apt;2691;5;38
71801;Studio in Recoleta most secure area;368954;Carlos;RECOLETA;-3.459.591;-5.839.931;Entire home/apt;4185;3;90
72204;Beautiful house in Palermo SOHO;373629;Daniel;PALERMO;-3.458.902;-5.842.926;Entire home/apt;21645;3;20
73180;Palermo Apt - Las Ca«Òitas area;161327;Mariano;PALERMO;-345.731;-5.843.346;Entire home/apt;2691;28;25
74383;Spectacular Penthouse 2BR with River &Sunrise view;319901;Ralf;PALERMO;-3.458.632;-5.843.241;Entire home/apt;13154;2;46
75094;Amazing apartment in Recoleta;161327;Mariano;RECOLETA;-3.458.875;-5.839.603;Entire home/apt;2691;25;113
75492;Studio Loft in Palermo Soho #1;400828;Jony;PALERMO;-3.458.817;-5.842.003;Entire home/apt;2870;2;302
75526;GUAPO / Amazing Large Studio* with great views.;319901;Ralf;PALERMO;-3.458.256;-5.842.523;Entire home/apt;4185;2;95
76005;Heart of Recoleta, no better place!;315089;Max;RECOLETA;-345.891;-5.839.269;Entire home/apt;2392;5;6
76385;Studio In Downtown Buenos Aires;407702;Ruy;MONSERRAT;-3.461.365;-583.849;Entire home/apt;2691;2;320
77024;Recoleta feliz Juncal 1360 2C;411077;Luz;RETIRO;-345.916;-5.838.571;Entire home/apt;2990;3;21
77404;Beautiful Duplex - Trendy Palermo;161327;Mariano;PALERMO;-3.456.765;-5.843.216;Entire home/apt;3049;20;18
77704;PALERMO SOHO Cheap Little Apt;417020;Jorge Fernando;PALERMO;-3.458.107;-5.842.602;Entire home/apt;2571;7;116
77752;#Nice Sunny Studio  FAST WiFI 10MB with Balcony!;417090;Mateo;RECOLETA;-3.459.069;-5.839.359;Entire home/apt;2392;1;188
77776;BUENOS AIRES, RECOLETA, 2 BEDROOM APT;417598;Rd;RECOLETA;-3.459.002;-5.840.479;Entire home/apt;4484;2;0
77860;Private room with balcony with view;402373;Daniel;PALERMO;-3.457.269;-5.843.395;Private room;3588;2;0
77942;Great room in Alto Palermo area;418692;Juliana;SAN CRISTOBAL;-3.462.364;-5.839.976;Private room;2990;1;1
77994;Studio 1A - Corazon de San Telmo;64880;Elbio Mariano;SAN TELMO;-3.462.128;-5.837.332;Entire home/apt;3588;2;5
78005;SOFA STUDIO, SAN TELMO, 1B;64880;Elbio Mariano;SAN TELMO;-3.461.952;-5.837.123;Entire home/apt;2990;2;15
78009;STUDIO DEFENSA 2A en San Telmo;64880;Elbio Mariano;SAN TELMO;-3.461.914;-5.837.239;Entire home/apt;4185;2;40
78014;STUDIO SOFA CAMA & PATIO;64880;Elbio Mariano;SAN TELMO;-3.462.025;-5.837.252;Entire home/apt;2392;2;24
78068;Lovely Place at a GREAT Location!;419383;Mariana Y Sebas;PALERMO;-3.458.288;-5.840.535;Entire home/apt;2093;3;18
78351;Apt in Palermo, Las Ca«Òitas;420786;Carola;PALERMO;-3.457.521;-5.842.883;Entire home/apt;3707;5;8
78685;Luminous Palermo 1BDR Apartment;419383;Mariana Y Sebas;PALERMO;-3.458.332;-5.840.643;Entire home/apt;2810;2;36
78703;Amazing Studio with Terrace & BBQ;422878;Oscar;RECOLETA;-3.459.477;-5.839.501;Entire home/apt;2870;1;188
79226;Petite Home;426420;Carolina;NU•EZ;-345.522;-5.845.802;Entire home/apt;2332;6;38
79247;Beautiful Apt in great location, 100% Good Reviews;426566;Egle;ALMAGRO;-3.461.964;-5.841.766;Entire home/apt;1375;5;41
79766;Cozy 1Bdr Great Terrace! sun/view!!;422878;Oscar;RECOLETA;-3.459.034;-5.839.767;Entire home/apt;3887;1;169
82623;GARDEN STUDIO FLAT w/swimming pool;449610;Antonio;COLEGIALES;-3.457.361;-5.845.238;Entire home/apt;1614;5;41
83035;Central loc. Entire apt, all incl.;426566;Egle;BOEDO;-3.462.107;-5.841.608;Entire home/apt;1913;5;43
83152;É?? Budda Lounge - Dream View Studio É??;319901;Ralf;PALERMO;-3.458.064;-5.842.367;Entire home/apt;4783;2;87
83440;GREAT! Apartment Alto Palermo;384997;Santiago;PALERMO;-3.459.222;-5.841.285;Entire home/apt;5979;30;4
84033;Great apart with private terrace & chill out area.;458852;Maria;PALERMO;-34.586;-5.842.534;Entire home/apt;3588;2;134
84730;Spotless apt. in a great location, Wi-Fi, balcony!;426566;Egle;ALMAGRO;-3.462.099;-5.841.753;Entire home/apt;1315;5;62
84986;Gorgeous Palermo, Buenos Aires, flatshare.;454822;D. / Lola;PALERMO;-3.457.269;-5.841.869;Private room;837;5;56
