edad,categ_laboral,estado_civil,nivel_educacion,deuda,balance,vivienda,prestamo,contacto,dia,mes,anio,duracion,cant_actual,dias_entre,cant_previa,resultado_ant,suscribe
40,operarix,casadx,secundario,no,580,si,no,desconocido,16,may,2008,192,1,-1,0,desconocido,no
34,tecnico,casadx,universitario/terciario,no,5547,si,no,celular,19,ago,2008,73,6,-1,0,desconocido,no
46,empresarix,casadx,primario,no,8873,si,no,celular,19,nov,2008,172,1,118,2,fallo,no
42,independiente,casadx,universitario/terciario,no,83,si,no,celular,20,ago,2008,140,4,-1,0,desconocido,no
23,estudiante,solterx,secundario,no,1284,si,no,desconocido,11,jun,2008,327,10,-1,0,desconocido,no
55,servicios,solterx,secundario,no,-40,si,no,desconocido,12,may,2008,178,2,-1,0,desconocido,no
30,tecnico,solterx,secundario,no,9645,no,si,celular,26,ago,2008,130,10,-1,0,desconocido,no
49,gestion,solterx,universitario/terciario,no,588,no,no,celular,28,ago,2008,70,9,-1,0,desconocido,no
50,gestion,divorciadx/viudx,universitario/terciario,no,2564,si,no,celular,21,nov,2008,124,4,113,8,fallo,no
39,operarix,solterx,primario,no,2,si,no,desconocido,9,jun,2008,259,2,-1,0,desconocido,no
59,gestion,casadx,universitario/terciario,no,1726,no,si,celular,8,jul,2008,137,3,-1,0,desconocido,no
36,desempleadx,solterx,universitario/terciario,no,1316,si,no,desconocido,30,may,2008,265,2,-1,0,desconocido,no
41,tecnico,casadx,secundario,no,-147,no,si,desconocido,1,jul,2008,130,1,-1,0,desconocido,no
38,gestion,divorciadx/viudx,universitario/terciario,no,4692,si,no,desconocido,29,may,2008,1363,2,-1,0,desconocido,no
45,administrador,casadx,secundario,no,520,si,no,desconocido,14,may,2008,452,1,-1,0,desconocido,no
57,jubiladx,casadx,primario,no,903,no,no,desconocido,16,jun,2008,141,1,-1,0,desconocido,no
49,independiente,casadx,universitario/terciario,no,2199,si,no,desconocido,13,may,2008,98,1,-1,0,desconocido,no
57,gestion,casadx,universitario/terciario,no,0,si,si,desconocido,20,may,2008,107,2,-1,0,desconocido,no
48,tecnico,casadx,secundario,no,3142,no,no,desconocido,23,may,2008,563,1,-1,0,desconocido,no
31,trabajadora casas particulares,solterx,universitario/terciario,no,0,no,no,celular,22,ago,2008,78,3,-1,0,desconocido,no
42,gestion,casadx,primario,no,0,no,no,desconocido,9,jun,2008,108,1,-1,0,desconocido,no
29,operarix,casadx,primario,no,-382,si,no,celular,28,jul,2008,35,2,-1,0,desconocido,no
47,operarix,casadx,secundario,no,690,si,no,celular,9,jul,2008,113,1,-1,0,desconocido,no
52,operarix,casadx,secundario,no,157,si,si,desconocido,19,may,2008,107,2,-1,0,desconocido,no
33,administrador,solterx,primario,no,-258,si,no,desconocido,28,may,2008,193,2,-1,0,desconocido,no
30,tecnico,solterx,universitario/terciario,no,2427,no,no,celular,8,ago,2008,261,2,-1,0,desconocido,no
43,gestion,casadx,desconocido,no,624,si,no,celular,18,jul,2008,400,6,-1,0,desconocido,no
34,empresarix,divorciadx/viudx,universitario/terciario,no,338,si,no,desconocido,9,may,2008,162,2,-1,0,desconocido,no
35,tecnico,casadx,secundario,no,0,no,no,celular,28,ago,2008,19,14,-1,0,desconocido,no
53,tecnico,divorciadx/viudx,secundario,si,-63,no,si,celular,4,ago,2008,531,1,-1,0,desconocido,no
28,trabajadora casas particulares,casadx,secundario,no,1294,si,no,celular,8,jul,2008,401,2,-1,0,desconocido,no
46,jubiladx,divorciadx/viudx,secundario,no,865,no,no,desconocido,17,jun,2008,117,11,-1,0,desconocido,no
37,empresarix,casadx,secundario,no,3,no,no,celular,20,nov,2008,96,1,-1,0,desconocido,no
32,operarix,casadx,secundario,si,98,no,si,desconocido,23,may,2008,174,1,-1,0,desconocido,no
53,gestion,casadx,universitario/terciario,no,-601,si,no,desconocido,30,may,2008,509,2,-1,0,desconocido,no
48,gestion,casadx,desconocido,no,970,no,no,celular,31,jul,2008,67,2,-1,0,desconocido,no
31,gestion,solterx,universitario/terciario,no,1289,si,no,celular,12,ago,2008,264,3,-1,0,desconocido,no
35,servicios,solterx,secundario,no,257,si,no,desconocido,2,jun,2008,518,1,-1,0,desconocido,no
55,administrador,casadx,primario,no,0,si,no,celular,19,ago,2008,55,4,-1,0,desconocido,no
44,trabajadora casas particulares,casadx,primario,no,26,si,no,celular,23,jul,2008,952,2,-1,0,desconocido,no
32,tecnico,solterx,secundario,no,5,no,no,celular,12,ago,2008,105,2,-1,0,desconocido,no
50,operarix,divorciadx/viudx,secundario,no,203,si,no,telefono fijo,19,nov,2008,265,1,127,4,otro,no
49,empresarix,casadx,universitario/terciario,no,763,no,no,celular,21,nov,2008,129,4,-1,0,desconocido,no
53,gestion,casadx,universitario/terciario,no,1313,no,no,celular,4,ago,2008,136,2,-1,0,desconocido,no
56,gestion,casadx,primario,no,405,no,no,celular,21,jul,2008,251,2,-1,0,desconocido,no
32,gestion,divorciadx/viudx,universitario/terciario,no,1486,si,no,celular,21,jul,2008,151,2,-1,0,desconocido,no
55,tecnico,casadx,primario,no,938,no,si,celular,19,nov,2008,742,1,-1,0,desconocido,no
51,servicios,solterx,secundario,no,513,si,no,celular,29,jul,2008,331,2,-1,0,desconocido,no
32,tecnico,solterx,universitario/terciario,no,418,no,si,celular,14,jul,2008,138,3,-1,0,desconocido,no
35,tecnico,casadx,secundario,no,712,si,no,desconocido,27,may,2008,266,4,-1,0,desconocido,no
39,operarix,casadx,desconocido,no,157,si,no,desconocido,30,may,2008,99,6,-1,0,desconocido,no
38,tecnico,solterx,secundario,no,1255,si,no,celular,17,nov,2008,151,2,171,2,fallo,no
56,empresarix,divorciadx/viudx,universitario/terciario,no,22946,no,no,desconocido,17,jun,2008,75,3,-1,0,desconocido,no
47,administrador,casadx,secundario,si,-57,no,si,desconocido,20,jun,2008,93,2,-1,0,desconocido,no
37,empresarix,casadx,secundario,no,-170,si,no,desconocido,28,may,2008,39,1,-1,0,desconocido,no
37,independiente,casadx,universitario/terciario,no,865,si,si,celular,9,jul,2008,332,1,-1,0,desconocido,no
56,tecnico,casadx,secundario,no,463,no,no,desconocido,26,may,2008,131,2,-1,0,desconocido,no
45,administrador,casadx,secundario,no,248,no,no,celular,16,jul,2008,212,2,-1,0,desconocido,no
27,operarix,casadx,primario,si,-588,no,no,desconocido,13,may,2008,531,2,-1,0,desconocido,no
47,administrador,solterx,secundario,no,3531,si,no,celular,7,jul,2008,49,6,-1,0,desconocido,no
56,desconocido,casadx,desconocido,no,1032,no,no,telefono fijo,29,jul,2008,225,4,-1,0,desconocido,no
27,servicios,solterx,secundario,no,5850,si,no,celular,31,jul,2008,164,3,-1,0,desconocido,no
55,empresarix,casadx,primario,no,298,si,no,desconocido,8,may,2008,144,3,-1,0,desconocido,no
36,operarix,casadx,primario,no,-327,si,si,desconocido,23,may,2008,691,1,-1,0,desconocido,no
34,gestion,solterx,universitario/terciario,no,1612,no,no,celular,27,ago,2008,108,22,-1,0,desconocido,no
41,servicios,casadx,secundario,no,446,si,no,celular,18,nov,2008,296,1,186,1,exito,no
44,operarix,casadx,universitario/terciario,no,2185,si,no,desconocido,16,may,2008,698,1,-1,0,desconocido,no
33,trabajadora casas particulares,casadx,primario,no,167,no,no,celular,21,ago,2008,141,2,-1,0,desconocido,no
35,tecnico,casadx,secundario,no,319,si,no,desconocido,8,may,2008,74,1,-1,0,desconocido,no
37,tecnico,casadx,secundario,no,77,si,si,celular,21,nov,2008,44,1,-1,0,desconocido,no
29,tecnico,solterx,secundario,no,316,si,si,desconocido,27,may,2008,211,1,-1,0,desconocido,no
32,empresarix,casadx,universitario/terciario,no,0,no,no,celular,19,ago,2008,167,2,-1,0,desconocido,no
36,gestion,divorciadx/viudx,universitario/terciario,no,0,no,no,celular,28,ago,2008,81,4,-1,0,desconocido,no
34,gestion,solterx,universitario/terciario,no,72,si,no,desconocido,26,may,2008,118,2,-1,0,desconocido,no
37,administrador,casadx,secundario,no,1123,no,si,desconocido,28,may,2008,138,1,-1,0,desconocido,no
45,trabajadora casas particulares,casadx,primario,no,3,si,si,desconocido,17,jun,2008,128,1,-1,0,desconocido,no
34,gestion,casadx,universitario/terciario,no,-304,si,no,desconocido,28,may,2008,279,2,-1,0,desconocido,no
38,administrador,casadx,secundario,no,1839,no,no,desconocido,23,may,2008,63,2,-1,0,desconocido,no
35,administrador,casadx,secundario,no,1,si,no,celular,9,jul,2008,112,1,-1,0,desconocido,no
53,trabajadora casas particulares,casadx,secundario,no,559,si,no,telefono fijo,25,jul,2008,182,1,-1,0,desconocido,no
45,tecnico,casadx,secundario,no,376,no,si,celular,18,ago,2008,86,2,-1,0,desconocido,no
31,tecnico,casadx,universitario/terciario,no,344,no,no,celular,8,ago,2008,62,3,-1,0,desconocido,no
36,gestion,solterx,universitario/terciario,no,0,no,no,celular,13,ago,2008,296,8,-1,0,desconocido,no
36,operarix,casadx,secundario,no,346,si,no,desconocido,5,jun,2008,202,1,-1,0,desconocido,no
51,operarix,casadx,primario,no,581,no,no,celular,25,ago,2008,121,4,-1,0,desconocido,no
45,servicios,casadx,secundario,no,475,si,no,desconocido,30,may,2008,230,2,-1,0,desconocido,no
56,gestion,divorciadx/viudx,universitario/terciario,no,982,no,no,desconocido,5,jun,2008,152,1,-1,0,desconocido,no
34,gestion,casadx,universitario/terciario,no,714,si,no,celular,31,jul,2008,8,27,-1,0,desconocido,no
30,tecnico,solterx,secundario,no,0,si,no,desconocido,6,may,2008,369,1,-1,0,desconocido,no
31,tecnico,solterx,universitario/terciario,no,2807,no,no,desconocido,8,nov,2008,154,1,-1,0,desconocido,no
37,tecnico,casadx,secundario,no,1,si,no,desconocido,6,may,2008,608,1,-1,0,desconocido,no
38,estudiante,solterx,universitario/terciario,no,1523,si,no,desconocido,5,jun,2008,17,16,-1,0,desconocido,no
51,operarix,casadx,secundario,no,8486,si,si,celular,21,nov,2008,80,10,-1,0,desconocido,no
50,tecnico,casadx,secundario,no,416,si,no,desconocido,5,jun,2008,494,5,-1,0,desconocido,no
47,tecnico,casadx,secundario,no,-401,si,no,desconocido,23,may,2008,78,1,-1,0,desconocido,no
33,gestion,casadx,universitario/terciario,no,1602,no,no,celular,21,nov,2008,44,3,-1,0,desconocido,no
43,operarix,casadx,secundario,no,470,si,si,desconocido,26,may,2008,185,1,-1,0,desconocido,no
54,servicios,casadx,desconocido,no,386,no,si,desconocido,20,jun,2008,838,1,-1,0,desconocido,no
30,tecnico,solterx,universitario/terciario,no,-3,si,no,celular,24,jul,2008,57,4,-1,0,desconocido,no
31,operarix,solterx,primario,no,-280,no,no,desconocido,21,may,2008,281,3,-1,0,desconocido,no
40,servicios,casadx,secundario,no,10406,no,no,celular,21,nov,2008,348,2,127,4,otro,no
51,operarix,casadx,primario,no,1080,no,si,celular,25,jul,2008,110,1,-1,0,desconocido,no
54,jubiladx,casadx,secundario,no,153,si,si,desconocido,26,may,2008,74,1,-1,0,desconocido,no
30,operarix,solterx,secundario,no,-93,si,no,desconocido,27,may,2008,149,2,-1,0,desconocido,no
58,tecnico,casadx,secundario,no,175,no,no,celular,12,ago,2008,92,4,-1,0,desconocido,no
51,operarix,casadx,secundario,no,2918,no,no,celular,5,ago,2008,193,2,-1,0,desconocido,no
31,operarix,divorciadx/viudx,secundario,no,-277,si,no,telefono fijo,17,jul,2008,1008,2,-1,0,desconocido,no
34,gestion,casadx,universitario/terciario,no,297,si,no,celular,26,ago,2008,63,4,-1,0,desconocido,no
37,administrador,casadx,secundario,no,-107,si,no,desconocido,28,may,2008,158,2,-1,0,desconocido,no
40,operarix,casadx,primario,no,3658,si,no,desconocido,14,may,2008,977,1,-1,0,desconocido,no
41,trabajadora casas particulares,casadx,secundario,no,1638,si,no,celular,23,jul,2008,327,1,-1,0,desconocido,no
37,operarix,casadx,secundario,no,-97,si,no,desconocido,5,jun,2008,135,2,-1,0,desconocido,no
41,administrador,solterx,secundario,no,2790,si,no,desconocido,5,jun,2008,190,1,-1,0,desconocido,no
56,gestion,casadx,primario,no,-24,si,no,desconocido,7,may,2008,305,3,-1,0,desconocido,no
35,trabajadora casas particulares,casadx,primario,no,0,no,si,telefono fijo,9,jul,2008,17,1,-1,0,desconocido,no
32,gestion,solterx,universitario/terciario,no,28,no,no,celular,8,ago,2008,111,2,-1,0,desconocido,no
60,empresarix,casadx,primario,no,0,no,no,desconocido,18,jun,2008,201,1,-1,0,desconocido,no
42,servicios,casadx,secundario,no,-43,si,si,desconocido,27,may,2008,363,3,-1,0,desconocido,no
40,desempleadx,solterx,secundario,no,75,si,no,desconocido,29,may,2008,203,1,-1,0,desconocido,no
40,operarix,casadx,primario,no,-158,si,si,desconocido,17,jun,2008,59,1,-1,0,desconocido,no
37,gestion,solterx,universitario/terciario,si,-25,no,no,desconocido,17,jun,2008,136,2,-1,0,desconocido,no
38,gestion,casadx,secundario,no,0,si,no,desconocido,27,may,2008,233,2,-1,0,desconocido,no
57,tecnico,casadx,secundario,no,3284,si,no,desconocido,26,may,2008,63,1,-1,0,desconocido,no
32,tecnico,divorciadx/viudx,secundario,no,409,no,si,celular,26,ago,2008,74,4,-1,0,desconocido,no
47,operarix,casadx,primario,no,-100,si,no,desconocido,15,may,2008,374,1,-1,0,desconocido,no
43,tecnico,solterx,secundario,si,685,si,no,celular,31,jul,2008,94,2,-1,0,desconocido,no
45,gestion,casadx,universitario/terciario,no,7154,si,no,celular,31,jul,2008,393,3,-1,0,desconocido,no
41,tecnico,casadx,secundario,no,563,si,no,celular,13,ago,2008,69,4,-1,0,desconocido,no
32,empresarix,casadx,universitario/terciario,no,598,no,no,celular,18,ago,2008,135,6,-1,0,desconocido,no
36,gestion,casadx,universitario/terciario,no,8277,si,no,celular,18,nov,2008,613,1,-1,0,desconocido,no
37,operarix,solterx,primario,no,914,no,no,desconocido,11,jun,2008,72,1,-1,0,desconocido,no
50,independiente,divorciadx/viudx,universitario/terciario,no,1390,no,no,celular,21,nov,2008,55,2,-1,0,desconocido,no
37,operarix,casadx,secundario,no,693,no,no,celular,20,nov,2008,59,2,-1,0,desconocido,no
53,operarix,casadx,primario,no,896,si,no,desconocido,14,may,2008,106,1,-1,0,desconocido,no
43,empresarix,solterx,universitario/terciario,no,42,no,no,celular,7,jul,2008,285,1,-1,0,desconocido,no
49,operarix,casadx,primario,no,2316,no,no,telefono fijo,7,ago,2008,35,4,-1,0,desconocido,no
45,operarix,casadx,primario,no,360,no,no,desconocido,20,jun,2008,98,2,-1,0,desconocido,no
41,operarix,casadx,secundario,no,0,no,no,desconocido,5,jun,2008,85,2,-1,0,desconocido,no
46,servicios,casadx,secundario,no,9,no,no,desconocido,16,may,2008,297,4,-1,0,desconocido,no
35,independiente,casadx,secundario,no,573,si,si,celular,22,ago,2008,140,8,-1,0,desconocido,no
36,trabajadora casas particulares,casadx,secundario,no,205,si,no,telefono fijo,18,nov,2008,176,4,-1,0,desconocido,no
59,jubiladx,casadx,primario,no,0,no,no,desconocido,17,jun,2008,192,1,-1,0,desconocido,no
34,operarix,casadx,primario,no,139,si,no,desconocido,9,may,2008,106,1,-1,0,desconocido,no
44,operarix,casadx,primario,no,2467,si,no,desconocido,15,may,2008,36,1,-1,0,desconocido,no
31,operarix,casadx,secundario,no,2591,si,no,celular,20,nov,2008,55,1,-1,0,desconocido,no
42,gestion,divorciadx/viudx,secundario,si,923,si,no,desconocido,19,jun,2008,129,2,-1,0,desconocido,no
38,gestion,casadx,universitario/terciario,no,272,si,no,celular,24,jul,2008,62,1,-1,0,desconocido,no
59,administrador,casadx,secundario,no,1675,no,si,celular,7,ago,2008,113,2,-1,0,desconocido,no
45,servicios,casadx,primario,no,266,si,no,celular,4,ago,2008,376,2,-1,0,desconocido,no
27,estudiante,solterx,secundario,no,24,si,no,celular,17,jul,2008,320,2,-1,0,desconocido,no
41,gestion,solterx,universitario/terciario,no,256,si,no,desconocido,3,jun,2008,140,6,-1,0,desconocido,no
32,servicios,solterx,secundario,no,0,no,si,celular,11,jul,2008,333,2,-1,0,desconocido,no
55,tecnico,divorciadx/viudx,secundario,no,0,si,no,desconocido,20,may,2008,365,4,-1,0,desconocido,no
28,tecnico,solterx,secundario,no,0,no,si,celular,22,jul,2008,188,2,-1,0,desconocido,no
47,desempleadx,casadx,secundario,no,1108,no,no,celular,8,ago,2008,169,2,-1,0,desconocido,no
30,gestion,solterx,universitario/terciario,no,1108,si,si,desconocido,9,may,2008,261,1,-1,0,desconocido,no
35,gestion,casadx,secundario,no,1160,si,no,desconocido,27,may,2008,116,3,-1,0,desconocido,no
