id,property_type,Barrio,lat,lon,Dist a Comisaria (km),Distancia a Hospital  Publico(km),Distancia a Estación Subte (km),Distancia a Biblioteca (km),Distancia a punto de Wifi  público(km),Distancia a Escuela Privada,Distancia a Escuela Pública,Distancia a Espacio Verde (km),Distancia a Espacio Verde (km),Calles Anegadas,Calles Anegadas,Superficie (m2),Precio M2 (U$S),Ambientes
1,apartment,Barrio Norte,-34.5926384,-58.406095,0.1703882,0.57412,0.1487453942,0.5325168105,0.67,0.1766507,0.0290355,0.4276997,0.4107776,2.2992748,2.2941282,170,2264,4
2,apartment,Barrio Norte,-34.5872891,-58.402981,0.82997063,0.36044,0.6165725194,1.07768941,0.5916791722,0.2229949,0.1604461,0.4410898,0.4030517,2.1040896,2.093782,34,2981,1
3,apartment,Barrio Norte,-34.5872891,-58.402981,0.82997063,0.36044,0.6165725194,1.07768941,0.5916791722,0.2229949,0.1604461,0.4410898,0.4030517,2.1040896,2.093782,33,3069,1
4,apartment,Barrio Norte,-34.5872891,-58.402981,0.82997063,0.36044,0.6165725194,1.07768941,0.5916791722,0.2229949,0.1604461,0.4410898,0.4030517,2.1040896,2.093782,33,3103,1
5,apartment,Barrio Norte,-34.5872891,-58.402981,0.82997063,0.36044,0.6165725194,1.07768941,0.5916791722,0.2229949,0.1604461,0.4410898,0.4030517,2.1040896,2.093782,35,3162,1
6,apartment,Barrio Norte,-34.5872891,-58.402981,0.82997063,0.36044,0.6165725194,1.07768941,0.5916791722,0.2229949,0.1604461,0.4410898,0.4030517,2.1040896,2.093782,35,3140,1
7,apartment,Barrio Norte,-34.6002259,-58.4010437,0.42920484,1.21338,0.2908827465,0.9258657511,0.4445350254,0.016836,0.24339,0.3134732,0.2962672,3.1041079,3.1041079,63,2600,1
8,apartment,Boca,-34.632777,-58.355403,0.49975483,0.80604,2.452108136,0.4453814931,0.2758333785,0.5373383,0.2671387,0.1524037,0.1516987,0.8557631,0.8557631,119,1008.4033613,5
9,apartment,Boca,-34.632531,-58.356908,0.38343281,0.76656,2.311686572,0.3777916632,0.160017121,0.4394186,0.20319,0.25601,0.2550982,0.7175547,0.7175547,35,1428.5714286,2
10,house,Boca,-34.629988,-58.35742,0.5486539,0.80614,2.214993644,0.6150669167,0.0626332637,0.6379474,0.4687965,0.474024,0.474024,0.6152855,0.6152855,372,456.9892473,7
11,apartment,Boca,-34.631581,-58.357524,0.40239468,0.84765,2.233657779,0.4441007883,0.0411778219,0.4803545,0.2951882,0.3707752,0.3698932,0.6293284,0.6293284,55,1363.6363636,2
12,apartment,Boca,-34.631581,-58.357524,0.40239468,0.84765,2.233657779,0.4441007883,0.0411778219,0.4803545,0.2951882,0.3707752,0.3698932,0.6293284,0.6293284,61,983.6065574,2
13,apartment,Puerto Madero,-34.612608,-58.358672,0.77158229,1.87517,1.203420271,1.530877658,0.7489603987,0.5668319,0.9674903,0.0407315,0.0397431,2.0047721,1.9701573,237,3881.8565401,4
14,apartment,Puerto Madero,-34.619362,-58.359219,0.83366944,1.17623,1.593326934,1.677361398,0.7499405799,0.352722,0.9314299,0.3741826,0.3727782,1.271879,1.2473719,111,4234.2342342,3
15,apartment,Puerto Madero,-34.61314,-58.359432,0.68668415,1.7955,1.161782965,1.484738059,0.6606753125,0.4815312,0.883863,0.0511416,0.0511416,1.9307593,1.894007,165,5878.7878788,4
16,apartment,Puerto Madero,-34.613148,-58.359455,0.68440771,1.79396,1.160236331,1.483085672,0.6583884612,0.4797916,0.881595,0.0533788,0.0533788,1.9294218,1.8925935,134,5522.3880597,3
17,apartment,Puerto Madero,-34.613318,-58.35968,0.65922055,1.76929,1.149657206,1.470780882,0.6318625142,0.4537675,0.8567951,0.081189,0.081189,1.9064558,1.8689801,165,5333.3333333,4
18,apartment,Puerto Madero,-34.617317,-58.359817,0.67324552,1.35108,1.393123655,1.67766852,0.5982879309,0.1842666,0.8486538,0.1802184,0.1802184,1.4712839,1.4389006,82,5487.804878,2
19,apartment,Puerto Madero,-34.617317,-58.359817,0.67324552,1.35108,1.393123655,1.67766852,0.5982879309,0.1842666,0.8486538,0.1802184,0.1802184,1.4712839,1.4389006,82,5000,2
20,apartment,Boca,-34.628536,-58.359901,0.63032777,0.55817,1.974651318,0.7537819263,0.2704581899,0.3695862,0.2777671,0.2233427,0.2233427,0.422893,0.422893,98,867.3469388,3
21,apartment,Boca,-34.632727,-58.360298,0.16284195,0.68624,2.017361954,0.299312962,0.275646432,0.2665041,0.119316,0.5232809,0.5223642,0.4611348,0.4611348,70,2000,4
22,apartment,Puerto Madero,-34.611939,-58.360491,0.65272511,1.89393,1.021293119,1.349583358,0.6479981836,0.5764036,0.8401974,0.1735537,0.1703884,2.0432133,2.0015556,228,5701.754386,4
23,apartment,Puerto Madero,-34.611921,-58.360493,0.65360656,1.89582,1.020439225,1.348824626,0.6491140116,0.5783264,0.8409136,0.1749095,0.1686785,2.0451602,2.0034817,177,4293.7853107,3
24,apartment,Puerto Madero,-34.611921,-58.360493,0.65360656,1.89582,1.020439225,1.348824626,0.6491140116,0.5783264,0.8409136,0.1749095,0.1686785,2.0451602,2.0034817,166,4487.9518072,3
25,apartment,Puerto Madero,-34.611921,-58.360493,0.65360656,1.89582,1.020439225,1.348824626,0.6491140116,0.5783264,0.8409136,0.1749095,0.1686785,2.0451602,2.0034817,177,5135.5932203,3
26,apartment,Puerto Madero,-34.611921,-58.360493,0.65360656,1.89582,1.020439225,1.348824626,0.6491140116,0.5783264,0.8409136,0.1749095,0.1686785,2.0451602,2.0034817,167,4700.5988024,3
27,apartment,Puerto Madero,-34.611925,-58.360493,0.65337544,1.89539,1.020590404,1.348954055,0.6488340059,0.5778907,0.8407175,0.1746395,0.1690762,2.0447209,2.0030455,360,7222.2222222,5
28,apartment,Boca,-34.635092,-58.360752,0.10370123,0.42673,2.068582306,0.1338997087,0.432623732,0.0198357,0.2217235,0.5554426,0.5547287,0.6414946,0.6414946,45,1444.4444444,2
29,apartment,Puerto Madero,-34.611473,-58.360848,0.65442117,1.93577,0.9735842043,1.30377722,0.6578732086,0.6218604,0.826715,0.2318849,0.1480394,2.0894408,2.0462415,190,5789.4736842,2
30,apartment,Puerto Madero,-34.611473,-58.360848,0.65442117,1.93577,0.9735842043,1.30377722,0.6578732086,0.6218604,0.826715,0.2318849,0.1480394,2.0894408,2.0462415,230,5652.173913,4
31,apartment,Puerto Madero,-34.611473,-58.360848,0.65442117,1.93577,0.9735842043,1.30377722,0.6578732086,0.6218604,0.826715,0.2318849,0.1480394,2.0894408,2.0462415,235,5531.9148936,4
32,apartment,Boca,-34.631854,-58.360969,0.26013689,0.60376,1.93250802,0.4115633602,0.2938225317,0.3649359,0.0830804,0.5854857,0.5854857,0.3530746,0.3530746,53,1509.4339623,3
33,apartment,Puerto Madero,-34.611972,-58.361004,0.61096014,1.87842,0.9785577109,1.305816134,0.6096640653,0.5649015,0.7965362,0.2112447,0.1745887,2.0324226,1.9890309,126,5555.5555556,3
34,apartment,Puerto Madero,-34.616059,-58.36104,0.52269998,1.44032,1.216049967,1.505214083,0.4574871006,0.125863,0.7105406,0.0164113,0.0163164,1.5827367,1.542771,75,3466.6666667,2
35,apartment,Puerto Madero,-34.616055,-58.361063,0.52054711,1.44008,1.214178596,1.503225578,0.4553429753,0.1250978,0.708394,0.0178442,0.0171319,1.5827986,1.5427255,59,3661.0169492,2
36,apartment,Puerto Madero,-34.616055,-58.361063,0.52054711,1.44008,1.214178596,1.503225578,0.4553429753,0.1250978,0.708394,0.0178442,0.0171319,1.5827986,1.5427255,54,3600,2
37,apartment,Puerto Madero,-34.616055,-58.361063,0.52054711,1.44008,1.214178596,1.503225578,0.4553429753,0.1250978,0.708394,0.0178442,0.0171319,1.5827986,1.5427255,89,3600,2
38,apartment,Puerto Madero,-34.617897,-58.361285,0.58511223,1.23981,1.345542985,1.530315485,0.5026558424,0.1096299,0.7432973,0.2178129,0.2178129,1.3775035,1.3386728,67,5208.9552239,1
39,apartment,Puerto Madero,-34.612019,-58.361515,0.56928304,1.86248,0.9370080332,1.262961996,0.571693085,0.5556148,0.7527097,0.2513719,0.1703142,2.0211474,1.9760399,131,2900.7633588,3
40,apartment,Puerto Madero,-34.612019,-58.361515,0.56928304,1.86248,0.9370080332,1.262961996,0.571693085,0.5556148,0.7527097,0.2513719,0.1703142,2.0211474,1.9760399,142,4507.0422535,3
41,apartment,Puerto Madero,-34.612019,-58.361515,0.56928304,1.86248,0.9370080332,1.262961996,0.571693085,0.5556148,0.7527097,0.2513719,0.1703142,2.0211474,1.9760399,175,4571.4285714,3
42,apartment,Puerto Madero,-34.617299,-58.361585,0.52673704,1.2936,1.27758896,1.525043453,0.4470996324,0.0378363,0.6934894,0.1610739,0.1610739,1.4381967,1.3970941,70,5071.4285714,1
43,apartment,Puerto Madero,-34.617506,-58.361644,0.53385664,1.27002,1.291141437,1.512358539,0.4526113441,0.0573965,0.6963657,0.1844471,0.1844471,1.4145828,1.3734279,55,3818.1818182,2
44,apartment,Puerto Madero,-34.617386,-58.361697,0.52274581,1.28121,1.277924302,1.512141239,0.4421336248,0.0432964,0.6871014,0.17408,0.17408,1.4269988,1.3854438,187,4010.6951872,4
45,apartment,Puerto Madero,-34.611947,-58.361744,0.5570859,1.86581,0.9145570687,1.240521734,0.5625507405,0.5630656,0.7383037,0.2738249,0.1825651,2.0267295,1.980805,176,4488.6363636,3
