PLAZO,PRESTAMOS_ANTERIORES,SCORE_VERAZ,ESTADO_CIVIL,DEUDA_SIST_FIN,INGRESOS_PERSONALES,Mora_mas_90
24,7,909,CASADO,89424.86835,346521.3648,0
20,8,675,CASADO,115009.3614,321922.3659,0
13,8,897,CASADO,100470.9319,224999.503,0
24,3,,VIUDO,50022.03573,83835.81408,0
48,8,884,SOLTERO,240852.474,331899.0488,0
12,1,,CASADO,36433.18375,356113.8261,0
24,5,882,DIVORCIADO,166479.8784,261144.9073,0
48,4,616,SOLTERO,213500,44541,0
24,3,796,DIVORCIADO,101426.4652,162282.3443,0
36,2,669,SOLTERO,107473.3265,278499.2743,0
36,1,892,SOLTERO,82406.56813,129496.0356,0
29,2,,DIVORCIADO,41411.95966,70488.44197,0
13,1,784,SOLTERO,19384.32154,46992.29465,0
24,1,748,CASADO,61442.17198,124615.1094,0
36,3,,DIVORCIADO,75677.17451,152724.9576,0
48,4,698,DIVORCIADO,95538.25051,134999.7018,0
48,5,705,DIVORCIADO,125898.9235,127533.9745,0
24,3,794,DIVORCIADO,42104.20885,254301.9694,0
48,1,864,SOLTERO,38363.43028,106074.0008,0
24,2,868,SOLTERO,21288.41452,103845.9245,0
14,4,938,SOLTERO,16021.95558,24219.23518,0
36,8,808,CASADO,80727.50553,133433.8934,0
36,9,757,CASADO,5303.700039,123753.0009,0
48,2,831,DIVORCIADO,118065.4301,168925.7893,0
48,3,820,DIVORCIADO,97499.68571,163530.7512,0
30,5,575,CASADO,150846.1643,418609.9764,0
24,7,943,CASADO,52723.41196,481403.8746,0
12,1,688,CASADO,14598.72572,102581.8906,0
18,2,378,CASADO,91808.11112,196206.1146,0
18,3,579,DIVORCIADO,238466.3156,319507.6025,0
24,3,653,CASADO,64087.82231,235392.3357,0
30,1,569,DIVORCIADO,52319.65677,413479.4365,0
28,2,615,DIVORCIADO,48721.04623,394614.513,0
24,6,782,VIUDO,50959.52705,126945.441,0
6,3,762,CASADO,54922.24437,126095.9906,0
24,4,,CASADO,74249.83599,111461.2923,0
30,4,,CASADO,63461.31004,128790.848,0
32,1,499,DIVORCIADO,55200,106000,0
12,1,811,CASADO,14224.94331,53139.15603,0
24,4,881,CASADO,79085.11794,257096.4965,0
36,3,,CASADO,166460.6664,43285.36232,0
12,1,,CASADO,45700.21533,54760.7029,0
24,1,803,CASADO,78463.88521,98254.42488,0
36,5,852,CASADO,122197.854,200294.2269,0
10,5,822,DIVORCIADO,20301.01379,288217.2098,0
13,6,701,DIVORCIADO,30376.23053,274202.1526,0
20,8,936,DIVORCIADO,115248.3254,849635.8626,0
24,4,533,SOLTERO,82432.31686,169912.3894,0
24,5,,SOLTERO,75634.44832,150192.3606,0
24,8,746,DIVORCIADO,27206.48181,119996.4413,0
12,1,962,CASADO,21254.11303,213970.7791,0
48,1,,SOLTERO,354200,349800,0
36,6,728,CASADO,33930.3329,106556.4949,0
24,4,,CASADO,189172.6591,337499.2545,0
48,1,906,DIVORCIADO,103304.3531,80575.53242,0
18,1,610,CASADO,121352.6346,970738.8967,0
12,6,784,SOLTERO,29663.886,211465.3259,0
15,6,538,DIVORCIADO,24208.72067,146777.2828,0
15,7,530,DIVORCIADO,26538.83809,128521.4171,0
29,3,757,CASADO,103181.6983,60265.41673,0
30,5,955,CASADO,217973.7959,394839.4686,0
48,6,960,CASADO,222448.6824,338675.462,0
24,1,458,DIVORCIADO,52909.71377,372603.6181,0
48,3,871,CASADO,27563.42572,103822.2369,0
48,1,873,SOLTERO,75265.93086,223562.1709,0
18,1,687,SOLTERO,110336.2948,112499.7515,1
48,1,284,CASADO,195230.338,216345.676,0
12,4,498,SOLTERO,89859.23719,181350.6301,0
20,3,845,DIVORCIADO,12426.38726,39241.22292,0
12,1,,CASADO,42815.18795,179162.2672,0
24,2,738,VIUDO,62237.3803,247805.8021,0
48,2,804,VIUDO,195244.2959,223562.1709,0
48,2,926,DIVORCIADO,67854.61463,235447.3375,0
12,5,928,CASADO,478747.3235,282746.4367,0
36,1,566,CASADO,176524.8163,106957.9508,0
16,7,823,VIUDO,40893.24709,164690.7992,0
15,8,741,VIUDO,59573.68197,160313.957,0
18,3,707,CASADO,44928.38392,94468.12897,0
24,4,,SOLTERO,83900.82607,264331.6574,0
47,5,567,SOLTERO,109701.7224,257336.7945,0
47,6,563,SOLTERO,103369.8591,244823.3506,0
48,7,520,SOLTERO,111461.2923,233653.3301,0
34,2,794,DIVORCIADO,10014.65588,58418.82598,0
48,9,,SOLTERO,43080.0856,348170.9643,0
48,1,494,CASADO,36599.01077,76247.93911,1
18,1,572,DIVORCIADO,46495.77034,114913.5008,1
24,1,678,CASADO,24391.65974,117515.2083,0
29,4,,CASADO,95648.89973,342652.1485,0
36,5,858,CASADO,92134.83411,292094.1299,0
12,1,,CASADO,198640.4214,370268.6855,0
24,4,904,DIVORCIADO,80180.60275,274121.7188,0
24,5,881,DIVORCIADO,60548.08794,260822.5327,0
48,1,914,DIVORCIADO,31796.53242,80117.24705,0
24,6,818,CASADO,40427.49257,135068.8116,0
36,6,628,CASADO,380241.9923,270137.6231,0
12,11,881,CASADO,134809.1453,177299.9697,0
24,12,906,CASADO,117478.4111,148055.499,0
48,1,879,CASADO,149538.1312,155768.8867,0
9,6,,VIUDO,176363.4877,379182.4054,0
15,5,547,VIUDO,93320.08469,349722.0395,0
36,3,746,SOLTERO,125078.9259,160348.5312,0
48,2,869,SOLTERO,363510.0364,284891.0609,0
12,4,845,CASADO,104479.756,117723.6688,0
48,1,852,SOLTERO,197926.5021,193193.267,0
36,2,501,DIVORCIADO,57374.87327,114230.5169,0
36,3,892,CASADO,99857.76965,121618.7525,0
36,3,,CASADO,215968.7542,436636.7378,0
48,1,926,DIVORCIADO,372375.8726,285929.7717,0
36,7,801,CASADO,30194.8799,49871.42327,0
36,1,875,CASADO,113469.4359,167218.116,0
48,1,858,DIVORCIADO,61873.18795,97900.61385,0
36,1,,CASADO,131442.3584,108492.1054,0
12,2,948,CASADO,111874.2363,145315.4111,0
28,3,943,CASADO,118643.9687,134999.7018,1
24,3,,SOLTERO,55586.24187,180999.8289,0
48,3,,DIVORCIADO,246415.8451,665724.1742,0
24,10,665,CASADO,112414.5123,506687.3416,0
12,5,,CASADO,56800,108000,0
36,4,491,CASADO,284708.4384,326437.674,0
48,2,770,CASADO,57281.26425,91497.52693,0
25,2,786,CASADO,62904.54976,97883.29183,0
36,1,953,DIVORCIADO,72773.16607,216984.2108,0
36,2,779,VIUDO,89028.45653,173491.3512,0
36,2,743,CASADO,114347.917,158598.9944,0
36,5,391,CASADO,88502.15492,349015.6884,0
36,1,728,SOLTERO,34597.50237,205869.4356,0
24,2,822,CASADO,44432.98146,127616.7392,0
48,3,897,VIUDO,117872.3391,165452.0374,0
24,5,,CASADO,283599.5881,490515.2865,0
36,1,397,CASADO,49100,120000,0
24,2,318,CASADO,46034.69324,114371.9087,0
36,3,540,CASADO,72778.6854,103845.9245,0
32,3,,CASADO,42097.26396,71271.64688,0
18,1,748,VIUDO,17605.52096,41917.90704,0
18,2,,CASADO,67098.18641,114371.9087,0
36,1,,SOLTERO,22240.33549,207691.8489,0
18,1,669,CASADO,62675.05472,113916.7107,0
24,2,628,CASADO,272205.1426,238274.8097,0
24,3,,CASADO,245941.7644,216345.676,0
48,3,743,VIUDO,99813.86682,106074.0008,0
24,3,933,SOLTERO,71761.14995,195801.2277,0
24,4,757,CASADO,19286.42093,137060.8594,0
48,1,864,DIVORCIADO,67022.4483,96862.96071,0
30,2,494,CASADO,164179.3294,293701.8416,0
24,3,703,CASADO,163361.2095,285929.7717,0
36,1,,CASADO,59406.92961,127507.5562,0
48,2,779,SOLTERO,96725.80649,70656.83103,0
12,3,393,CASADO,15614.22161,49308.06823,0
12,1,769,SOLTERO,18600,160000,0
8,2,,CASADO,23192.25646,166153.4792,0
18,1,,SOLTERO,7427.536445,45065.95147,0
36,1,811,CASADO,33731.21719,66011.62934,0
48,1,918,CASADO,209300,213435,0
32,2,621,DIVORCIADO,353922.3564,379854.7479,0
12,2,746,DIVORCIADO,100558.9244,190418.1616,0
17,5,921,DIVORCIADO,179530.2463,95466.60069,0
24,1,928,VIUDO,12966.19572,118704.6087,0
12,1,,DIVORCIADO,18375.61715,159867.8692,0
47,2,794,SOLTERO,66427.85598,59983.52705,1
36,6,698,DIVORCIADO,32708.59852,73502.46858,0
36,4,734,CASADO,119000,351000,0
12,6,731,DIVORCIADO,12962.14965,102934.7178,0
27,2,860,SOLTERO,51276.73905,71863.68261,0
14,2,731,CASADO,67424.45019,81141.17215,0
48,2,,DIVORCIADO,152429.4877,265254.3556,0
24,1,545,SOLTERO,57669.50036,87048.30243,0
18,1,664,SOLTERO,13510.28471,105732.663,0
15,1,,CASADO,63145.89594,440552.7623,0
48,1,529,CASADO,128543.506,460132.8851,0
36,1,822,CASADO,112586.2898,147115.0597,0
12,3,899,SOLTERO,27119.43753,175317.5759,0
18,4,866,SOLTERO,31291.83023,169718.4012,0
43,2,841,CASADO,732268.3433,196665.0425,0
20,1,,CASADO,77538.29027,121153.5785,0
34,2,694,CASADO,59719.37445,65593.41128,1
24,2,,CASADO,29950.08589,350635.1519,0
48,3,811,CASADO,78781.9596,320468.9882,0
36,1,948,CASADO,52960.51773,124639.8392,0
24,2,551,SOLTERO,21807.64414,129807.4056,0
48,3,758,CASADO,78339.91071,188740.4997,0
30,6,899,SOLTERO,26845.50382,88387.45165,0
12,3,718,CASADO,19767.21868,48964.67011,0
48,1,669,CASADO,82211.35687,242307.1571,0
48,3,868,CASADO,36904.85322,195858.6805,0
36,1,765,CASADO,181660.7149,102934.7178,0
48,1,824,CASADO,132113.934,187153.8502,0
24,3,,DIVORCIADO,138652.321,204381.3694,0
36,4,731,CASADO,101012.3009,320014.0421,0
32,2,877,DIVORCIADO,92670.17196,181350.6301,0
12,2,709,CASADO,20575.08294,69549.57613,0
