Desc_Resp_Cerrada,MARITAL_STATUS_CODE,EDAD,MODELO_ATENCION,FRECUENCIA_ENCUESTAS,VISITAS_CAJA,ESPERA_SEQ1
9,S,55,PREMIUM,3,3,
10,D,52,RENTA_MASIVA,1,1,
7,C,64,RENTA_MASIVA,2,1,
9,S,50,RENTA_MASIVA,2,1,18.31
8,C,43,PREMIUM,3,1,7.15
8,C,54,PREMIUM,3,1,4.8
10,S,63,PREMIUM,4,3,
9,C,52,PREMIUM,4,2,2.51
10,S,42,PREMIUM,2,1,
10,C,66,PREMIUM,1,1,6.51
9,C,46,RENTA_MASIVA,1,1,27.43
5,S,34,RENTA_MASIVA,1,1,
6,S,44,NORMAL,1,1,6.23
8,C,59,RENTA_MASIVA,1,2,13.28
8,C,43,PREMIUM,2,1,2.2
8,C,55,NORMAL,1,1,4.48
10,C,43,PREMIUM,1,1,4.28
8,C,49,RENTA_MASIVA,1,1,14.16
9,C,68,PREMIUM,2,1,1.13
10,S,45,PREMIUM,3,3,2.43
10,S,35,PREMIUM,3,3,
10,S,45,PREMIUM,4,2,
4,S,36,NORMAL,1,2,4.08
9,S,59,RENTA_MASIVA,1,1,11.73
10,C,45,PREMIUM,1,1,1.7
1,S,38,RENTA_MASIVA,1,1,43.13
7,S,64,RENTA_MASIVA,1,1,2.13
1,C,69,RENTA_MASIVA,1,1,7.53
1,C,56,RENTA_MASIVA,1,1,31.96
10,S,54,RENTA_MASIVA,1,1,7.11
9,S,53,RENTA_MASIVA,1,1,11.73
10,S,34,PREMIUM,1,7,5.35
8,C,56,PREMIUM,2,2,25.08
9,S,43,NORMAL,1,1,7.05
7,S,60,RENTA_MASIVA,2,1,7.78
10,S,52,PREMIUM,1,4,7.61
8,C,51,PREMIUM,1,1,4.35
10,S,37,PREMIUM,4,1,3.55
10,D,52,NORMAL,1,1,9.88
3,S,37,NORMAL,1,1,44.76
5,C,43,RENTA_MASIVA,1,1,13.63
8,C,51,PREMIUM,4,1,
10,S,46,PREMIUM,2,4,4.38
8,C,37,PREMIUM,2,2,9.46
8,S,41,RENTA_MASIVA,2,2,28.71
10,S,37,RENTA_MASIVA,1,1,
8,S,46,PREMIUM,2,1,8.58
8,S,61,RENTA_MASIVA,1,1,19.75
10,S,58,NORMAL,1,1,11.91
6,S,49,PREMIUM,3,1,6.6
9,C,39,NORMAL,1,1,26.78
7,C,54,NORMAL,3,2,26.68
10,C,39,PREMIUM,3,2,0.6
5,S,38,RENTA_MASIVA,1,1,31.85
10,C,49,EMPRESAS,1,1,6.21
3,S,38,RENTA_MASIVA,2,1,
10,S,41,PREMIUM,4,1,12.76
10,S,51,RENTA_MASIVA,1,1,1.91
