id;entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion
1;Plan 54 escuelas;Escuela de Educacion Primaria N.ø 24 D.E. 15 ®Francisco Morazan¯ - Siglo XXI;Finalizada;Escuelas;Ministerio de Educacion;Primaria;67065700;12;VILLA URQUIZA;-345.671.531.157.142;-584.792.365.744.249;1/12/2013;31/5/2016;29;100;Criba S.A.;2013;Licitacion Publica;2030-MDUGC-2013
2;Donado Holmberg;Calle Holmberg: Nivelacion en cruce;Finalizada;Espacio Publico;Secretaria de Transporte y Obras Publicas;En el marco del proyecto urbano del Barrio Parque Donado Holmberg, se creo un parque lineal planteado como un recorrido que incluyo peque¤as plazas y genero continuidad fisica y espacial a lo largo de toda su traza, mediante la nivelacion de los cruces en las intersecciones del par Holmberg y Donado con las calles Tomas le Breton, Pedro Ignacio Iivera, Blanco Encalada, Mendoza, Virrey del Pino y Carbajal.;9950017;12;VILLA URQUIZA;-345.705.334.368.156;-584.756.140.399.718;16/3/2015;15/7/2016;16;100;Altote S.A;2014;Licitacion Publica ;957/2014 
3;area Ambiental Central;area Ambiental Central: Calles Alsina Y Moreno;Finalizada;Espacio Publico;Secretaria de Transporte y Obras Publicas;Se intervinieron los tramos comprendidos entre la Av. Presidente Julio Argentino Roca y la calle Defensa, realizando obras de nivelacion, colocacion de darsenas de carga y descarga, nuevas luminarias y se reemplazo el pavimiento por el granitullo para recuperar el aspecto tradicional de la calle.;36942632;1;MONTSERRAT;-346.107.259.046.774;-583.806.001.913.762;12/1/2016;15/11/2017;22;100;Rol Ingenieria S.A;2016;;
4;area Ambiental Central;area Ambiental Central: Calle Esmeralda I;Finalizada;Espacio Publico;Secretaria de Transporte y Obras Publicas;La obra incluyo el tramo ubicado entre la Av. Santa Fe y la Av. de Mayo en donde se realizaron obras de nivelacion con el objetivo de dejar un carril central para transito liviano, restringiendo el paso de colectivos. Ademas, se intalaron nuevas luminarias y se plantaron arboles.;26938294;1;SAN NICOLAS;-346.034.869.708.627;-583.780.780.925.184;27/10/2014;28/2/2017;28;100;Dal Construcciones S.A;2014;;
5;Villa Olimpica;Villa Olimpica: Demoliciones en el Parque de la Ciudad;Finalizada;Vivienda;Secretaria de Transporte y Obras Publicas;Se realizo las demoliciones de las construcciones existentes en el predio del parque de la Ciudad de Buenos Aires para la construccion y emplazamiento de la Villa Olimpica en la comuna 8.;6990315;8;VILLA SOLDATI;-346.732.416.929.548;-584.585.438.979.202;20/12/2014;20/12/2015;12;100;SES SA;2014;Licitacion Publica;1582/2014
6;Villa Olimpica;Villa Olimpica: Viviendas II;Finalizada;Vivienda;Secretaria de Transporte y Obras Publicas;La segunda licitacion comprendio la construccion de 3 edificios con una superficie aproximada de 13.000m2 destinados a vivienda y 470m2 que fueron destinados a locales comerciales.;148823367;8;VILLA LUGANO;-346.737.481.938.886;-584.590.036.131.792;15/2/2016;30/8/2017;18;100;EMACO SA - CONSTRUCTORA LANUSSE SA -UTE;2015;Licitacion Publica;115/2015
7;Villa Olimpica;Villa Olimpica: Viviendas III;Finalizada;Vivienda;Secretaria de Transporte y Obras Publicas;El tercer conjunto licitado comprendio la construccion de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 370m2 que fueron destinados a locales comerciales.;179192366;8;VILLA LUGANO;-346.737.481.938.886;-584.590.036.131.792;25/2/2016;15/10/2017;20;100;Bricons S.A.I.C.F.I.;2015;Licitacion Publica;329-329-MDUGC-2015
8;Villa Olimpica;Villa Olimpica: Viviendas IV;Finalizada;Vivienda;Secretaria de Transporte y Obras Publicas;La cuarta licitacion comprendio la construccion de 3 edificios con una superficie de aproximada de 14.050m2 destinados a vivienda y 380m2 que fueron destinados a locales comerciales.;163279322;8;VILLA LUGANO;-346.737.481.938.886;-584.590.036.131.792;15/2/2016;30/8/2017;18;100;Dycasa S.A.;2015;Licitacion Publica;395/2015
9;Villa Olimpica;Villa Olimpica: Viviendas IX;Finalizada;Vivienda;Secretaria de Transporte y Obras Publicas;La licitacion N 9 contemplo la construccion de 3 edificios con una superficie aproximada de 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.;137837183;8;VILLA LUGANO;-346.737.481.938.886;-584.590.036.131.792;28/3/2016;15/2/2018;23;100;Criba S.A.;2015;Licitacion Publica;580/2015
10;Villa Olimpica;Villa Olimpica: Viviendas V;Finalizada;Vivienda;Secretaria de Transporte y Obras Publicas;La licitacion N 5 contemplo la construccion de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 230m2 que fueron destinados a locales comerciales.;166503404;8;VILLA LUGANO;-346.737.481.938.886;-584.590.036.131.792;15/3/2016;30/9/2017;18;100;Dycasa S.A.;2015;Licitacion Publica;396/2015
11;Villa Olimpica;Villa Olimpica: Viviendas VI;Finalizada;Vivienda;Secretaria de Transporte y Obras Publicas;La licitacion N 6 contemplo la construccion de 3 edificios con una superficie aproximada de 11.700m2 que fueron destinados a vivienda y 430m2 que fueron destinados a locales comerciales.;160833300;8;VILLA LUGANO;-346.737.481.938.886;-584.590.036.131.792;15/2/2016;30/8/2017;18;100;Criba S.A.;2015;Licitacion Publica;450/2015
