id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price_period,title,paga_comision
MBKwdnNRh6pzNlGIhSIrpQ==,Propiedad,2020-04-17,2020-04-17,2020-04-17,-37.994518,-57.576918000000006,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,2.0,,,Mensual,Venta de dos phs en bloque,no paga
5AQ7xAc23txWwJcllXauAg==,Propiedad,2020-01-08,2020-10-15,2020-01-08,,,Argentina,Capital Federal,,,,,4.0,3.0,1.0,,,,Casa en Bosque Peralta Ramos,no paga
8X/z6+CQ+xl44s0hrvU9nQ==,Propiedad,2020-06-23,2020-06-30,2020-06-23,-34.61728,-58.399178000000006,Argentina,Capital Federal,San Cristobal,,,,4.0,3.0,2.0,,,,PH 4 Ambientes con Terraza y Entrada Independiente,no paga
vsuvbn3VQsomLuWt0mYtGw==,Propiedad,2020-08-12,2020-09-02,2020-08-12,-34.726338,-58.248383999999994,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,Quilmes,,,3.0,2.0,2.0,173.0,100.0,,VENTA PH 3 AMB PATIO PARRILLA QUILMES ZONA CENTRO,no paga
vY2C4zm7BXhGK9csFq5m/w==,Propiedad,2019-09-18,2019-12-18,2019-09-18,-34.755,-58.267313,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,Quilmes,,,3.0,2.0,1.0,128.0,70.0,,"PH EN VENTA,QUILMES,3 AMB,PATIO,PILETA,COCHERA",no paga
SjGuvjjxwOckA0eIPJyM6A==,Propiedad,2019-12-10,2019-12-23,2019-12-10,-34.6729225,-58.4810744,Argentina,Capital Federal,Villa Lugano,,,,3.0,2.0,2.0,140.0,75.0,,Oportunidad ! PH en Venta con patio y terraza en Villa Lugano.,no paga
q2K/8aOXg3d1Aq0ceviStQ==,Propiedad,2020-01-02,2020-08-18,2020-01-02,-34.6139902,-58.4304094,Argentina,Capital Federal,Caballito,,,,3.0,,1.0,,85.0,Mensual,Venta PH 3 o 4 Ambientes Dos Patios Caballito,paga
rXLt7mCkL3oUwimSEJ5dzw==,Propiedad,2020-01-29,2020-07-24,2020-01-29,-34.617090999999995,-58.373067000000006,Argentina,Capital Federal,San Telmo,,,,3.0,,,136.0,97.0,,P.H  con terraza. Complejo Pasaje Bolivar.,paga
nqDIsNQvPidkpi62oaVZfw==,Propiedad,2019-11-18,9999-12-31,2019-11-18,,,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Punta Mogotes,,,3.0,2.0,1.0,,,,casa a la venta punta mogotes 2 dormitorios,no paga
25IU9JNIRZTwJHIRzXZ95w==,Propiedad,2020-02-11,2020-02-13,2020-02-11,-34.6020458,-58.4439422,Argentina,Capital Federal,Paternal,,,,5.0,4.0,2.0,149.0,149.0,,Depto.tipo casa de 5 ambientes en Venta en Paternal,paga
tVPK9oSWndq8YF0VoJEpbg==,Propiedad,2019-12-18,2020-01-30,2019-12-18,-34.5343202,-58.514062,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Florida,,,3.0,,1.0,,,Mensual,PH - Florida Belgrano-Oeste,no paga
/7i3P+pwOoKL+S2Qfgk9ug==,Propiedad,2020-07-30,9999-12-31,2020-07-30,-34.475044,-58.529903000000004,Argentina,Bs.As. G.B.A. Zona Norte,San Isidro,San Isidro,,,4.0,3.0,1.0,94.0,72.0,,PH 4 AMBIENTES - SIN EXPENSAS!! SAN ISIDRO,no paga
J9VOSJfctsqCif1oZJgU1w==,Propiedad,2020-07-08,2020-09-22,2020-07-08,-34.583635,-58.460395,Argentina,Capital Federal,Chacarita,,,,3.0,2.0,2.0,110.0,110.0,,PH Venta 3 ambientes Reciclado con terraza y patio. Imperdible!,no paga
TRUk7GgheFFGXwa0rNGnsQ==,Propiedad,2020-07-09,2020-07-17,2020-07-09,-34.612753999999995,-58.41326479999999,Argentina,Capital Federal,Caballito,,,,3.0,2.0,2.0,,,,Hermoso PH 3 Amb + Studio + Patio + Lavadero,paga
8PZuW9H5d59uZ5UcqDiX7A==,Propiedad,2020-03-06,9999-12-31,2020-03-06,-37.0769189,-56.828078000000005,Argentina,Buenos Aires Costa Atlántica,Pinamar,,,,,4.0,2.0,,,,Casa De 4 Ambientes Y 2 Baños C/ Piscina,paga
