id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price_period,title,paga_comision
uQQC4POc0NZOaUtRDwLxmw==,Propiedad,2020-04-30,2020-09-25,2020-04-30,-37.9751815,-57.5571824,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,1.0,1.0,,,,PH 3 AMBIENTES U$S 56000,no paga
pbMeZ//72gcF6V5s8x+/DA==,Propiedad,2020-04-28,2020-07-17,2020-04-28,-34.6017991,-58.4152637,Argentina,Capital Federal,Almagro,,,,3.0,2.0,2.0,,,,Ph sin expensas 3 amb terraza propia reciclado,no paga
0rQfzI05MLnHABQYhwo6rQ==,Propiedad,2020-04-21,9999-12-31,2020-04-21,-34.647587,-58.702148,Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,,,,3.0,2.0,1.0,,,,CASA 3 AMBIENTES,no paga
CjiBFB0WQlerQwjEZCYasg==,Propiedad,2020-08-11,2020-10-28,2020-08-11,-34.689320266399996,-58.579843314899996,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,,,,2.0,1.0,1.0,,,,Casa PH en Venta en San Justo,no paga
7UrDE0s3HcBONDObNKYFRw==,Propiedad,2019-11-12,9999-12-31,2019-11-12,-31.2915864,-64.2922971,Argentina,Córdoba,Villa Allende,,,,6.0,,2.0,,,Mensual,PH - Villa Allende,no paga
Uy2SQxGNmlMrazHqyv8u/g==,Propiedad,2019-09-25,2019-12-19,2019-09-25,-34.6557311,-58.523385,Argentina,Capital Federal,Liniers,,,,2.0,,,120.0,55.0,Mensual,PH - B.Naon,no paga
gkiignOWMoVDVBFDfKZ1MA==,Propiedad,2020-04-10,9999-12-31,2020-04-10,-34.6416137713,-58.6327887795,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,,,,3.0,2.0,1.0,,,,Chalet PH en Venta Cond en Castelar Norte,no paga
5/mYhtSLZEHcDnkZ57xS0w==,Propiedad,2020-06-18,9999-12-31,2020-06-18,-26.8241028,-65.2032593,Argentina,Tucumán,San Miguel de Tucumán,,,,4.0,3.0,1.0,,,,"Ph en Venta, San miguel de tucumán U$S 190000",no paga
FzBaHxBpJ+DkJaWKcv8h0w==,Propiedad,2019-09-19,2020-05-29,2019-09-19,-34.663672999999996,-58.562633999999996,Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,,,,,,,0.0,,Mensual,ITUZAINGO NORTE,no paga
OdBPkRWfKnwXAMMqP3Srlw==,Propiedad,2020-04-17,2020-04-17,2020-04-17,-34.5949064,-58.416504599999996,Argentina,Capital Federal,Palermo,,,,4.0,3.0,1.0,120.0,120.0,Mensual,Depto.tipo casa de 4 ambientes en Venta en Palermo,no paga
r3cWTt/NI+w+YC7+TT7U+Q==,Propiedad,2020-03-03,2020-03-09,2020-03-03,-34.5649523,-58.5630781,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,Villa Ballester,,,3.0,2.0,1.0,80.0,65.0,Mensual,PH al fondo de 3 ambientes con garaje y fondo libre en Villa Ballester,no paga
l7R9ejlDET/4LuduN14AOA==,Propiedad,2020-04-09,9999-12-31,2020-04-09,-34.7602855102,-58.4087357755,Argentina,Bs.As. G.B.A. Zona Sur,Lomas de Zamora,,,,5.0,4.0,2.0,,,,Casa PH en Venta en Lomas de Zamora Oeste,no paga
dIK8R9ZMPqHDmhDSotnb5Q==,Propiedad,2020-04-11,2020-07-31,2020-04-11,-34.726591291700004,-58.3001005417,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,,,,2.0,1.0,2.0,,,,Departamento Tipo Casa en Venta en Bernal Oeste,no paga
SACe7wBaquMohTutef9vqw==,Propiedad,2020-07-22,2020-10-21,2020-07-22,-34.596864981799996,-58.4405457447,Argentina,Capital Federal,Villa Crespo,,,,2.0,1.0,1.0,45.0,45.0,,Depto.tipo casa de 2 ambientes en Venta en Villa crespo,no paga
pcqWf9JmGbbNru9Jj1/c0g==,Propiedad,2020-04-06,9999-12-31,2020-04-06,-30.863396500000004,-64.533342,Argentina,Córdoba,Capilla del Monte,,,,5.0,3.0,2.0,,,,VENTA DE PROPIEDAD EN CAPILLA DEL MONTE CORDOBA,no paga
NdjfPsaAk1HKhgbJSVSDZg==,Propiedad,2020-05-16,2020-10-31,2020-05-16,-34.7042317063,-58.516694085,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Aldo Bonzi,,,3.0,2.0,1.0,248.0,90.0,,PH 3 amb c/patio y quincho s/expensas,no paga
4AnBiDmgQpCMUalzd8iF+Q==,Propiedad,2019-12-20,2020-05-08,2019-12-20,-34.5796842,-58.440617,Argentina,Capital Federal,Palermo,Palermo Hollywood,,,7.0,,3.0,,267.0,Mensual,VENTA 3 PHs PALERMO HOLLYWOOD,no paga
BXBBkgyE5xwYmXmvZTWBDQ==,Propiedad,2020-01-20,9999-12-31,2020-01-20,-34.4163972,-58.7489332,Argentina,Bs.As. G.B.A. Zona Norte,Escobar,Garín,,,2.0,1.0,1.0,35.0,45.0,,DEPARTAMENTO 2 AMB C/ COCH. CONDOMINIO - GARIN,no paga
nPUzJlZbvQGeD/OoKsQMiQ==,Propiedad,2020-04-23,2020-08-04,2020-04-23,-34.648769,-58.520694999999996,Argentina,Capital Federal,Liniers,,,,5.0,,,,,,EXCELENTE CASA EN LOTE PROPIO,no paga
/6FG4Clsz7itolRxJUnCxw==,Propiedad,2020-03-26,9999-12-31,2020-03-26,,,Argentina,Córdoba,Capilla del Monte,,,,3.0,1.0,1.0,,,,VENTA DE CASA CON DEPARTAMENTO - MARAVILLOSA VISTA AL CERRO URITORCO - EL PAJARILLO- Y LOS TERRONES CORDOBA,no paga
xl2y0RTJPyCahtBkVn1kvw==,Propiedad,2019-12-12,2019-12-23,2019-12-12,-34.579228799999996,-58.446881700000006,Argentina,Capital Federal,Colegiales,,,,3.0,1.0,2.0,82.0,55.0,,PH en Venta,no paga
aWSXNQvI1bKZXkGYPEP4Bw==,Propiedad,2020-03-13,9999-12-31,2020-03-13,-34.630724799999996,-58.6397035,Argentina,Bs.As. G.B.A. Zona Oeste,Hurlingham,,,,2.0,1.0,,,40.0,Mensual,PH - Villa Santos Tesei,no paga
1FX5Vh9vOeX8k+ykGRS5EA==,Propiedad,2020-05-05,2020-05-20,2020-05-05,-34.6097156,-58.4433275,Argentina,Capital Federal,Parque Centenario,,,,4.0,3.0,2.0,114.0,114.0,,Depto.tipo casa de 4 ambientes en Venta en Parque centenario,no paga
PUhoohwrmuoyo648E0goVQ==,Propiedad,2020-07-10,9999-12-31,2020-07-10,-34.5858845,-58.4256608,Argentina,Capital Federal,Palermo,,,,2.0,1.0,2.0,87.0,63.0,Mensual,PH JORGE LUIS BORGES 2000 - Palermo,no paga
SL4hOuAFgTOonatqHICmXA==,Propiedad,2020-08-04,2020-10-22,2020-08-04,-34.651111,-58.525529000000006,Argentina,Capital Federal,Liniers,,,,,,,,,,PH Tipo Casa 5 Amb C/cochera - Apto Credito,no paga
+1iNX+4Z7rt+T5S17ZGfkA==,Propiedad,2019-08-31,2019-12-02,2019-08-31,-38.011807,-57.545755500000006,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Güemes,,,3.0,,1.0,102.0,80.0,Mensual,PH - Guemes ,no paga
JNZHVlXwwqjDVw15tDUxFg==,Propiedad,2020-08-21,9999-12-31,2020-08-21,-34.5987571,-58.52452679999999,Argentina,Bs.As. G.B.A. Zona Oeste,Tres de Febrero,Sáenz Peña,,,3.0,2.0,1.0,,,,"Ph en Venta en Sáenz peña, Tres de febrero U$S 78000",no paga
2Zg1NJ55PC57AA4QzzcMpw==,Propiedad,2020-02-28,2020-03-11,2020-02-28,-34.5938938763,-58.4662313124,Argentina,Capital Federal,Paternal,,,,2.0,1.0,1.0,37.0,37.0,,Depto.tipo casa de 2 ambientes en Venta en Paternal,no paga
p8+YGz6p0MCCiyWB5a2DbA==,Propiedad,2020-03-21,2020-04-03,2020-03-21,-34.5853302411,-58.4443150666,Argentina,Capital Federal,Chacarita,,,,3.0,2.0,1.0,90.0,90.0,,Depto.tipo casa de 3 ambientes en Venta en Chacarita,no paga
n0ILBlATUNUN209AUhGqLQ==,Propiedad,2020-04-10,9999-12-31,2020-04-10,-34.773105977600004,-58.3141071592,Argentina,Bs.As. G.B.A. Zona Sur,Quilmes,,,,4.0,3.0,1.0,,,,Casa PH en Venta en San Francisco Solano,no paga
qcWthtovvUpeENGGjAua4A==,Propiedad,2019-11-03,2019-12-23,2019-11-03,-34.5473845,-58.4982235,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Villa Martelli,,,4.0,2.0,3.0,201.0,165.0,,Lindisimo PH en 3 plantas!,no paga
+p1akk1vfL5rZX0msU1TpA==,Propiedad,2019-09-03,2019-10-26,2019-09-03,-34.6209236908,-58.4831486546,Argentina,Capital Federal,Villa del Parque,,,,3.0,,1.0,126.0,66.0,Mensual,PH Venta 4 Ambientes Villa del Parque Barrio Santa Rita,no paga
wFpbWMCoU348i4uip+ehkQ==,Propiedad,2020-08-03,9999-12-31,2020-08-03,-34.9182251223,-57.9841643404,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,La Plata,,,3.0,2.0,1.0,90.0,80.0,Mensual,PH venta 2 dormitorios y patio -  90 mts 2- La Plata,no paga
ExVSvfPC3kcDGwCBUekyDw==,Propiedad,2019-12-17,2020-05-18,2019-12-17,-34.618171399999994,-58.4944961,Argentina,Capital Federal,Villa Santa Rita,,,,3.0,,1.0,45.0,45.0,Mensual,Venta de PH en Villa Santa Rita nuevo y con luz natural,no paga
1Nd86yuXgfJC17//qh1S2Q==,Propiedad,2020-06-20,2020-07-06,2020-06-20,-31.4379396,-64.1411474,Argentina,Córdoba,Córdoba,,,,3.0,2.0,1.0,,,,CASA EN VENTA,no paga
Nl7pjS5dGs+dWX4PBvBUow==,Propiedad,2020-01-31,9999-12-31,2020-01-31,-34.804038399999996,-58.3964147,Argentina,Bs.As. G.B.A. Zona Sur,Almirante Brown,Adrogué,,,,,,,,Mensual,Venta de PH en Adrogué,no paga
157Ch91/+GK2QCUlZta8AA==,Propiedad,2020-03-12,9999-12-31,2020-03-12,,,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,1.0,,,,PH 3 AMBIENTES CON PATIO BARRIO PARQUE LURO,no paga
aaQm2jC9OCZPMLOlRRQ7ig==,Propiedad,2020-05-08,2020-05-20,2020-05-08,-34.6406495,-58.443667299999994,Argentina,Capital Federal,Parque Chacabuco,,,,4.0,3.0,1.0,124.0,84.0,Mensual,Av Curapaligue 1700 Pque Chacabuco PH 4amb U$150.000,no paga
JrWtWoE+rz6OU4yWYWH9Dg==,Propiedad,2019-11-23,2019-12-23,2019-11-23,-34.597356,-58.3964407,Argentina,Capital Federal,Barrio Norte,,,,3.0,2.0,1.0,65.0,65.0,,PH en venta en Barrio Norte,no paga
Pb1KBsaiE/LlxHMnW9ziQQ==,Propiedad,2020-08-08,2020-08-14,2020-08-08,-34.612753999999995,-58.41326479999999,Argentina,Capital Federal,San Cristobal,,,,3.0,2.0,2.0,,,,Hermoso PH 3 Amb + Studio + Patio + Lavadero,no paga
A+mKVaOcqraRg+u+ZO6/4Q==,Propiedad,2020-02-11,2020-02-13,2020-02-11,-34.601211464,-58.4485274117,Argentina,Capital Federal,Parque Centenario,,,,3.0,2.0,1.0,81.0,81.0,,Depto.tipo casa de 3 ambientes en Venta en Parque centenario,no paga
ykKq37h8P2Qe/5zfJp9/RA==,Propiedad,2020-04-09,9999-12-31,2020-04-09,-34.682199455500005,-58.659416183199994,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,,,,3.0,1.0,2.0,,,,Casa Fondo en Venta Cond en Castelar Sur,no paga
5QY3q6ZBZlgoLEO5xU1ITg==,Propiedad,2020-04-04,2020-09-18,2020-04-04,-34.7116131765,-58.40084671,Argentina,Bs.As. G.B.A. Zona Sur,Lanús,,,,4.0,3.0,2.0,,,,Casa PH en Venta en Lanus Oeste,no paga
5Zt8lA2nN/Yp16/UpSglKA==,Propiedad,2020-06-20,2020-06-20,2020-06-20,-34.59532,-58.42485,Argentina,Capital Federal,Villa Crespo,,,,4.0,3.0,1.0,84.0,84.0,Mensual,Depto.tipo casa de 4 ambientes en Venta en Villa crespo,no paga
8Ftn93o/AbxmFqeWL4lhgg==,Propiedad,2019-11-29,2019-12-16,2019-11-29,,,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Faro Norte,,,2.0,1.0,1.0,,,,Casa/ph tipo Loft - 2 ambientes,no paga
FBHeU2UVZE32K4Hc6yiK5Q==,Propiedad,2020-08-08,2020-08-13,2020-08-08,,,Argentina,Capital Federal,Belgrano,,,,2.0,1.0,2.0,52.0,52.0,,"HERMOSO DUPLEX 2 AMBIENTES TIPO PH,COCHERA CUBIERTA 2 BAÑOS BAJAS EXPENSAS.",no paga
