id,ad_type,start_date,end_date,created_on,lat,lon,l1,l2,l3,l4,l5,l6,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,price_period,title
++1+tWV/GGXoWe6sZlwbJg==,Propiedad,2019-05-03,2020-04-24,2019-05-03,-34.5888788959,-58.4361378487,Argentina,Capital Federal,Palermo,Palermo Soho,,,1.0,1.0,1.0,35.0,30.0,50000.0,,"PH en venta, Palermo SOHO, apto crédito "
++6ABwpS9HhCOP/c4A6VIw==,Propiedad,2019-11-08,2019-11-10,2019-11-08,-38.0202802,-57.570825600000006,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,3.0,2.0,,55.0,50.0,69000.0,,Ph 3 ambientes con terraza
++8MR1qBfO8USJ9zAS1Sog==,Propiedad,2019-09-09,9999-12-31,2019-09-09,-34.5078727,-58.513377600000005,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Olivos,,,5.0,,2.0,200.0,95.0,249000.0,Mensual,PH - Olivos
++LdGnXnBmS56B7ttTQEzw==,Propiedad,2019-08-14,9999-12-31,2019-08-14,-38.0111349,-57.5462731,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,,,,4.0,3.0,2.0,91.0,,140000.0,,Depto 3 amb con dependencia de servicio. Totalmente externo.
++fiqKs+AUZgn9pKY2l0TQ==,Propiedad,2020-03-29,9999-12-31,2020-03-29,-33.08103,-68.46814,Argentina,Capital Federal,,,,,3.0,2.0,1.0,215.0,100.0,133000.0,,"VENTA PH 3 amb, doble patio terraza San Martín"
++r66VBpFjCvgWDuS1Q0JA==,Propiedad,2019-06-22,9999-12-31,2019-06-22,-34.5362682,-58.5282007,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Munro,,,3.0,,1.0,115.0,80.0,165000.0,Mensual,Hermoso y moderno PH con patio y cochera.
+/AiqyLiXNh7uteekegH0A==,Propiedad,2019-08-28,2019-10-19,2019-08-28,-34.4697573,-58.5080319,Argentina,Bs.As. G.B.A. Zona Norte,San Isidro,,,,4.0,,2.0,94.0,90.0,360000.0,Mensual,PH - San Isidro
+/JlTaCcYRGxy3K2muNuxg==,Propiedad,2019-04-20,2020-04-02,2019-04-20,-34.6396464,-58.63449250000001,Argentina,Bs.As. G.B.A. Zona Oeste,Morón,Castelar,,,,2.0,1.0,100.0,90.0,125000.0,,Castelar Norte-americana En Muy Buena Ubicación Apto Credito
+/RWpYSGp6NGmp0YyW65gA==,Propiedad,2020-03-09,9999-12-31,2020-03-09,-34.6434239,-58.5037055,Argentina,Capital Federal,Villa Luro,,,,,,,,,159000.0,Mensual,PH 3 AMBIENTES CON TERRAZA
+/h7Xik/YFlhL0MsKY4lzg==,Propiedad,2020-04-02,9999-12-31,2020-04-02,-38.0324721717,-57.57153851060001,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Las Avenidas,,,4.0,3.0,2.0,123.0,92.0,98000.0,Mensual,VENTA PH A LA CALLE 4 AMBIENTES LUMINOSOS COCHERA CUBIERTA Y OTRA DESCUBIERTA DOS BAÑOS TRES DORMITO
+/n7uFSm+2AKNy042QRVZg==,Propiedad,2019-07-05,9999-12-31,2019-07-05,-34.5884646379,-58.485428059700006,Argentina,Capital Federal,Parque Chas,,,,,4.0,3.0,107.0,75.0,250000.0,,"PH 107m² con Plantas en DE LOS CONSTITUYENTES, Av 3600, Capital Federal, Parque Chas, por U$S 250.000"
+0OIUThQxmpr8+k6JCuqzA==,Propiedad,2020-04-03,2020-05-07,2020-04-03,-30.921061699999996,-64.5388208,Argentina,Córdoba,San Esteban,,,,2.0,1.0,1.0,,,38000.0,,Casa 1 dormitorio - San Esteban
+0jinXK9npxHMhu74phoOA==,Propiedad,2020-02-03,9999-12-31,2020-02-03,-34.571907,-58.548402,Argentina,Bs.As. G.B.A. Zona Norte,General San Martín,,,,3.0,2.0,1.0,126.0,126.0,92000.0,,Venta PH 3 amb. entrada independiente - San Martin
+17MyaR/sQd5OSA+nX2clg==,Propiedad,2019-10-12,2019-12-10,2019-10-12,-34.6431806,-58.5055762,Argentina,Capital Federal,Liniers,,,,2.0,1.0,1.0,80.0,73.0,128000.0,,ERCILLA 5600 - LINIERS - PH DE 2 1/2 AMB. C/PATIO TODO RECICLADO!
+1bidyMot6PErLGqBUOy8g==,Propiedad,2020-03-19,9999-12-31,2020-03-19,-34.934236600000006,-57.939653899999996,Argentina,Bs.As. G.B.A. Zona Sur,La Plata,La Plata,,,2.0,1.0,,,,69000.0,,Venta de Departamento 1 DORMITORIO en La Plata.
+1iNX+4Z7rt+T5S17ZGfkA==,Propiedad,2019-08-31,2019-12-02,2019-08-31,-38.011807,-57.545755500000006,Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Güemes,,,3.0,,1.0,102.0,80.0,220000.0,Mensual,PH - Guemes 
+1kHKBDnXwLZh0o01Gva0w==,Propiedad,2019-11-20,9999-12-31,2019-11-20,-34.6477997,-58.5748983,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Ramos Mejía,,,3.0,,2.0,90.0,90.0,135000.0,Mensual,PH - Ramos Mejia Sur
+1pCnYVT2Mr9scbHbLBMwA==,Propiedad,2019-07-18,9999-12-31,2019-07-18,-34.6524687351,-58.5830092019,Argentina,Bs.As. G.B.A. Zona Oeste,La Matanza,Villa Luzuriaga,,,,3.0,2.0,71.0,58.0,105000.0,Mensual,"PH. AL FONDO MUY ESPACIOSO, SIN PAGO DE EXPENSAS."
+1v9aLoALRCsqEU/95x4MA==,Propiedad,2019-11-27,2020-01-21,2019-11-27,-34.535121000000004,-58.487425,Argentina,Bs.As. G.B.A. Zona Norte,Vicente López,Florida,,,3.0,2.0,2.0,75.0,75.0,120000.0,,VENTA PH 3 AMBIENTES SIN EXPENSAS - VICENTE LOPEZ
+25Rhjpb2JJpolI8AJaPLQ==,Propiedad,2019-11-23,2020-01-21,2019-11-23,-34.611961,-58.512289,Argentina,Capital Federal,Villa Devoto,,,,4.0,3.0,2.0,168.0,128.0,230000.0,,"VENTA PH 4 AMBIENTES, QUINCHO y TERRAZA"
