,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2656,2016-07-01,Albury,5.2,11.4,11.4,,,NW,26.0,WSW,W,9.0,7.0,96.0,76.0,1019.0,1021.4,8.0,8.0,7.3,11.1,Yes,No
2657,2016-07-02,Albury,7.2,12.5,0.4,,,WSW,17.0,,W,0.0,11.0,88.0,86.0,1027.7,1026.4,8.0,8.0,9.3,11.6,No,No
2658,2016-07-03,Albury,7.9,12.7,0.2,,,W,20.0,ENE,W,6.0,13.0,100.0,82.0,1027.5,1024.7,8.0,7.0,9.7,12.6,No,No
2659,2016-07-04,Albury,8.2,11.7,0.2,,,E,19.0,,ENE,0.0,13.0,97.0,70.0,1021.1,1016.0,8.0,8.0,9.0,11.6,No,No
2660,2016-07-05,Albury,6.7,10.6,1.0,,,WNW,19.0,,SSE,0.0,7.0,92.0,99.0,1011.2,1008.6,8.0,8.0,7.8,8.9,No,No
2661,2016-07-06,Albury,7.2,15.4,7.6,,,WSW,43.0,W,WSW,19.0,20.0,80.0,60.0,1010.3,1010.4,,2.0,10.6,15.0,Yes,No
2662,2016-07-07,Albury,4.0,16.5,0.0,,,SE,30.0,,ESE,0.0,11.0,100.0,58.0,1020.7,1019.1,,5.0,8.3,16.2,No,No
2663,2016-07-08,Albury,6.5,11.8,0.2,,,S,17.0,S,E,2.0,2.0,96.0,94.0,1022.7,1020.8,8.0,8.0,9.2,11.5,No,No
2664,2016-07-09,Albury,7.0,15.8,2.0,,,NE,13.0,,NNE,0.0,9.0,100.0,76.0,1025.5,1023.1,8.0,8.0,9.0,13.9,Yes,No
2665,2016-07-10,Albury,6.2,14.0,0.0,,,NE,28.0,,NNE,0.0,15.0,100.0,74.0,1023.8,1018.9,3.0,6.0,9.1,13.4,No,No
2666,2016-07-11,Albury,9.1,16.2,16.6,,,N,44.0,N,N,22.0,19.0,82.0,52.0,1009.3,1007.9,8.0,1.0,12.8,15.7,Yes,No
2667,2016-07-12,Albury,8.6,12.9,0.4,,,NW,69.0,N,NW,19.0,37.0,79.0,61.0,1007.3,1004.2,8.0,,9.3,12.0,No,No
2668,2016-07-13,Albury,3.6,9.5,9.6,,,WNW,54.0,WNW,WNW,24.0,19.0,87.0,66.0,1019.3,1023.1,8.0,8.0,4.3,8.9,Yes,No
2669,2016-07-14,Albury,-0.3,10.8,0.2,,,W,26.0,,WNW,0.0,13.0,99.0,72.0,1032.6,1030.1,8.0,6.0,4.4,9.6,No,No
2670,2016-07-15,Albury,4.4,12.8,0.0,,,W,20.0,NE,ESE,4.0,6.0,90.0,66.0,1032.9,1030.6,6.0,7.0,8.4,12.2,No,No
2671,2016-07-16,Albury,-0.4,14.0,0.2,,,E,17.0,,SSE,0.0,7.0,100.0,65.0,1033.9,1030.2,,,4.5,13.1,No,No
2672,2016-07-17,Albury,0.4,16.5,0.0,,,ENE,17.0,N,SE,6.0,6.0,94.0,64.0,1031.6,1027.5,,,6.1,15.1,No,No
2673,2016-07-18,Albury,2.1,13.4,0.0,,,E,13.0,,SE,0.0,2.0,100.0,96.0,1026.2,1022.6,,8.0,7.3,11.8,No,No
2674,2016-07-19,Albury,7.3,15.2,5.0,,,NNW,17.0,S,NE,7.0,7.0,100.0,88.0,1023.3,1021.8,8.0,8.0,10.9,14.0,Yes,No
2675,2016-07-20,Albury,8.5,17.3,0.0,,,ESE,13.0,NNE,E,6.0,7.0,100.0,70.0,1020.9,1019.5,7.0,1.0,10.7,16.7,No,No
2676,2016-07-21,Albury,6.2,16.8,0.4,,,W,15.0,W,NNE,11.0,7.0,100.0,96.0,1020.1,1015.6,8.0,8.0,10.0,13.8,No,No
2677,2016-07-22,Albury,9.9,18.2,6.8,,,NNW,56.0,NNW,W,31.0,22.0,92.0,99.0,1003.6,999.5,8.0,8.0,16.8,12.7,Yes,No
2678,2016-07-23,Albury,7.1,10.8,24.2,,,WNW,63.0,W,SW,24.0,28.0,82.0,67.0,1005.2,1009.8,8.0,8.0,8.5,8.4,Yes,No
2679,2016-07-24,Albury,-0.2,10.1,0.6,,,WNW,28.0,NE,N,9.0,13.0,86.0,77.0,1015.5,1010.7,,8.0,4.7,8.7,No,No
2680,2016-07-25,Albury,4.7,11.5,12.0,,,NNW,56.0,WNW,WNW,15.0,19.0,89.0,87.0,1013.5,1012.2,8.0,8.0,7.7,10.4,Yes,No
2681,2016-07-26,Albury,4.5,11.3,4.0,,,WNW,39.0,NW,NNW,15.0,20.0,85.0,72.0,1017.4,1014.4,6.0,8.0,6.9,9.7,Yes,No
2682,2016-07-27,Albury,6.9,12.6,10.6,,,NW,39.0,WNW,WNW,17.0,24.0,90.0,82.0,1013.7,1017.3,5.0,6.0,9.5,11.5,Yes,No
2683,2016-07-28,Albury,5.9,10.8,0.0,,,W,22.0,WNW,WNW,9.0,11.0,85.0,79.0,1027.6,1026.1,7.0,8.0,8.1,10.5,No,No
2684,2016-07-29,Albury,7.7,12.2,0.8,,,W,28.0,NW,NW,11.0,15.0,94.0,73.0,1025.8,1022.9,8.0,8.0,9.1,11.0,No,No
2685,2016-07-30,Albury,8.3,12.1,0.2,,,NNW,20.0,ESE,NNW,9.0,9.0,96.0,74.0,1024.4,1021.5,8.0,8.0,9.7,11.9,No,No
2686,2016-07-31,Albury,8.0,14.3,2.2,,,N,22.0,E,NE,7.0,9.0,93.0,76.0,1019.4,1017.4,8.0,8.0,9.7,13.7,Yes,No
2687,2016-08-01,Albury,9.6,11.8,3.8,,,N,33.0,,N,0.0,22.0,100.0,92.0,1017.0,1012.3,8.0,6.0,10.6,11.5,Yes,No
2688,2016-08-02,Albury,8.3,13.7,21.0,,,SE,35.0,S,SE,7.0,20.0,83.0,47.0,1016.2,1016.5,2.0,,8.6,13.5,Yes,No
2689,2016-08-03,Albury,-0.2,15.4,0.0,,,SE,30.0,SW,E,4.0,11.0,85.0,51.0,1023.0,1022.0,,,5.6,15.0,No,No
2690,2016-08-04,Albury,1.4,15.1,0.2,,,SE,30.0,SSE,SE,9.0,7.0,76.0,48.0,1029.0,1027.9,,,7.6,14.8,No,No
2691,2016-08-05,Albury,0.5,15.3,0.0,,,SW,17.0,,W,0.0,9.0,79.0,46.0,1033.5,1030.1,,,7.2,14.6,No,No
2692,2016-08-06,Albury,1.2,13.0,0.0,,,NNE,17.0,,SE,0.0,7.0,100.0,55.0,1030.3,1027.2,,,4.0,12.1,No,No
2693,2016-08-07,Albury,0.7,15.6,0.2,,,ESE,13.0,,SE,0.0,7.0,88.0,43.0,1027.9,1024.8,7.0,1.0,5.5,14.3,No,No
2694,2016-08-08,Albury,1.4,15.1,0.0,,,E,13.0,SSE,E,4.0,7.0,89.0,65.0,1026.7,1023.5,2.0,5.0,6.0,14.4,No,No
2695,2016-08-09,Albury,1.8,17.2,0.0,,,N,43.0,E,NNE,6.0,24.0,87.0,60.0,1022.0,1015.9,1.0,4.0,7.8,16.3,No,No
2696,2016-08-10,Albury,7.4,15.0,2.6,,,N,39.0,NNW,NW,11.0,15.0,79.0,56.0,1015.7,1013.9,7.0,8.0,11.2,14.1,Yes,No
